:LABEL,id,ifc_type,outer_curve,profile_type
IfcArbitraryClosedProfileDef,#506,IFCARBITRARYCLOSEDPROFILEDEF,#505,AREA
IfcArbitraryClosedProfileDef,#1210,IFCARBITRARYCLOSEDPROFILEDEF,#1209,AREA
IfcArbitraryClosedProfileDef,#1434,IFCARBITRARYCLOSEDPROFILEDEF,#1433,AREA
IfcArbitraryClosedProfileDef,#2100,IFCARBITRARYCLOSEDPROFILEDEF,#2099,AREA
IfcArbitraryClosedProfileDef,#2781,IFCARBITRARYCLOSEDPROFILEDEF,#2780,AREA
IfcArbitraryClosedProfileDef,#3005,IFCARBITRARYCLOSEDPROFILEDEF,#3004,AREA
IfcArbitraryClosedProfileDef,#3448,IFCARBITRARYCLOSEDPROFILEDEF,#3447,AREA
IfcArbitraryClosedProfileDef,#3578,IFCARBITRARYCLOSEDPROFILEDEF,#3577,AREA
IfcArbitraryClosedProfileDef,#5154,IFCARBITRARYCLOSEDPROFILEDEF,#5153,AREA
IfcArbitraryClosedProfileDef,#5259,IFCARBITRARYCLOSEDPROFILEDEF,#5258,AREA
IfcArbitraryClosedProfileDef,#5441,IFCARBITRARYCLOSEDPROFILEDEF,#5440,AREA
IfcArbitraryClosedProfileDef,#5491,IFCARBITRARYCLOSEDPROFILEDEF,#5490,AREA
IfcArbitraryClosedProfileDef,#5541,IFCARBITRARYCLOSEDPROFILEDEF,#5540,AREA
IfcArbitraryClosedProfileDef,#5591,IFCARBITRARYCLOSEDPROFILEDEF,#5590,AREA
IfcArbitraryClosedProfileDef,#6124,IFCARBITRARYCLOSEDPROFILEDEF,#6123,AREA
IfcArbitraryClosedProfileDef,#6239,IFCARBITRARYCLOSEDPROFILEDEF,#6238,AREA
IfcArbitraryClosedProfileDef,#6581,IFCARBITRARYCLOSEDPROFILEDEF,#6580,AREA
IfcArbitraryClosedProfileDef,#6600,IFCARBITRARYCLOSEDPROFILEDEF,#6599,AREA
IfcArbitraryClosedProfileDef,#8001,IFCARBITRARYCLOSEDPROFILEDEF,#8000,AREA
IfcArbitraryClosedProfileDef,#8017,IFCARBITRARYCLOSEDPROFILEDEF,#8016,AREA
IfcArbitraryClosedProfileDef,#8218,IFCARBITRARYCLOSEDPROFILEDEF,#8217,AREA
IfcArbitraryClosedProfileDef,#8234,IFCARBITRARYCLOSEDPROFILEDEF,#8233,AREA
IfcArbitraryClosedProfileDef,#8454,IFCARBITRARYCLOSEDPROFILEDEF,#8453,AREA
IfcArbitraryClosedProfileDef,#8485,IFCARBITRARYCLOSEDPROFILEDEF,#8484,AREA
IfcArbitraryClosedProfileDef,#8513,IFCARBITRARYCLOSEDPROFILEDEF,#8512,AREA
IfcArbitraryClosedProfileDef,#8541,IFCARBITRARYCLOSEDPROFILEDEF,#8540,AREA
IfcArbitraryClosedProfileDef,#8569,IFCARBITRARYCLOSEDPROFILEDEF,#8568,AREA
IfcArbitraryClosedProfileDef,#8597,IFCARBITRARYCLOSEDPROFILEDEF,#8596,AREA
IfcArbitraryClosedProfileDef,#8625,IFCARBITRARYCLOSEDPROFILEDEF,#8624,AREA
IfcArbitraryClosedProfileDef,#8653,IFCARBITRARYCLOSEDPROFILEDEF,#8652,AREA
IfcArbitraryClosedProfileDef,#8681,IFCARBITRARYCLOSEDPROFILEDEF,#8680,AREA
IfcArbitraryClosedProfileDef,#8709,IFCARBITRARYCLOSEDPROFILEDEF,#8708,AREA
IfcArbitraryClosedProfileDef,#8737,IFCARBITRARYCLOSEDPROFILEDEF,#8736,AREA
IfcArbitraryClosedProfileDef,#8765,IFCARBITRARYCLOSEDPROFILEDEF,#8764,AREA
IfcArbitraryClosedProfileDef,#8793,IFCARBITRARYCLOSEDPROFILEDEF,#8792,AREA
IfcArbitraryClosedProfileDef,#8821,IFCARBITRARYCLOSEDPROFILEDEF,#8820,AREA
IfcArbitraryClosedProfileDef,#8849,IFCARBITRARYCLOSEDPROFILEDEF,#8848,AREA
IfcArbitraryClosedProfileDef,#8993,IFCARBITRARYCLOSEDPROFILEDEF,#8992,AREA
IfcArbitraryClosedProfileDef,#9011,IFCARBITRARYCLOSEDPROFILEDEF,#9010,AREA
IfcArbitraryClosedProfileDef,#9536,IFCARBITRARYCLOSEDPROFILEDEF,#9535,AREA
IfcArbitraryClosedProfileDef,#9773,IFCARBITRARYCLOSEDPROFILEDEF,#9772,AREA
IfcArbitraryClosedProfileDef,#12252,IFCARBITRARYCLOSEDPROFILEDEF,#12251,AREA
IfcArbitraryClosedProfileDef,#12658,IFCARBITRARYCLOSEDPROFILEDEF,#12657,AREA
IfcArbitraryClosedProfileDef,#13012,IFCARBITRARYCLOSEDPROFILEDEF,#13011,AREA
IfcArbitraryClosedProfileDef,#13367,IFCARBITRARYCLOSEDPROFILEDEF,#13366,AREA
