:LABEL,id,ifc_type,outer_curve,profile_type
IfcArbitraryOpenProfileDef,#94,IFCARBITRARYOPENPROFILEDEF,#93,CURVE
IfcArbitraryOpenProfileDef,#101,IFCARBITRARYOPENPROFILEDEF,#100,CURVE
IfcArbitraryOpenProfileDef,#108,IFCARBITRARYOPENPROFILEDEF,#107,CURVE
IfcArbitraryOpenProfileDef,#116,IFCARBITRARYOPENPROFILEDEF,#115,CURVE
IfcArbitraryOpenProfileDef,#123,IFCARBITRARYOPENPROFILEDEF,#122,CURVE
IfcArbitraryOpenProfileDef,#131,IFCARBITRARYOPENPROFILEDEF,#130,CURVE
IfcArbitraryOpenProfileDef,#139,IFCARBITRARYOPENPROFILEDEF,#138,CURVE
IfcArbitraryOpenProfileDef,#147,IFCARBITRARYOPENPROFILEDEF,#146,CURVE
IfcArbitraryOpenProfileDef,#154,IFCARBITRARYOPENPROFILEDEF,#153,CURVE
IfcArbitraryOpenProfileDef,#255,IFCARBITRARYOPENPROFILEDEF,#254,CURVE
IfcArbitraryOpenProfileDef,#262,IFCARBITRARYOPENPROFILEDEF,#261,CURVE
IfcArbitraryOpenProfileDef,#270,IFCARBITRARYOPENPROFILEDEF,#269,CURVE
IfcArbitraryOpenProfileDef,#278,IFCARBITRARYOPENPROFILEDEF,#277,CURVE
IfcArbitraryOpenProfileDef,#286,IFCARBITRARYOPENPROFILEDEF,#285,CURVE
IfcArbitraryOpenProfileDef,#293,IFCARBITRARYOPENPROFILEDEF,#292,CURVE
IfcArbitraryOpenProfileDef,#300,IFCARBITRARYOPENPROFILEDEF,#299,CURVE
IfcArbitraryOpenProfileDef,#407,IFCARBITRARYOPENPROFILEDEF,#406,CURVE
IfcArbitraryOpenProfileDef,#414,IFCARBITRARYOPENPROFILEDEF,#413,CURVE
IfcArbitraryOpenProfileDef,#421,IFCARBITRARYOPENPROFILEDEF,#420,CURVE
IfcArbitraryOpenProfileDef,#428,IFCARBITRARYOPENPROFILEDEF,#427,CURVE
IfcArbitraryOpenProfileDef,#435,IFCARBITRARYOPENPROFILEDEF,#434,CURVE
IfcArbitraryOpenProfileDef,#442,IFCARBITRARYOPENPROFILEDEF,#441,CURVE
IfcArbitraryOpenProfileDef,#596,IFCARBITRARYOPENPROFILEDEF,#595,CURVE
IfcArbitraryOpenProfileDef,#603,IFCARBITRARYOPENPROFILEDEF,#602,CURVE
IfcArbitraryOpenProfileDef,#610,IFCARBITRARYOPENPROFILEDEF,#609,CURVE
IfcArbitraryOpenProfileDef,#618,IFCARBITRARYOPENPROFILEDEF,#617,CURVE
IfcArbitraryOpenProfileDef,#626,IFCARBITRARYOPENPROFILEDEF,#625,CURVE
IfcArbitraryOpenProfileDef,#633,IFCARBITRARYOPENPROFILEDEF,#632,CURVE
IfcArbitraryOpenProfileDef,#640,IFCARBITRARYOPENPROFILEDEF,#639,CURVE
IfcArbitraryOpenProfileDef,#647,IFCARBITRARYOPENPROFILEDEF,#646,CURVE
IfcArbitraryOpenProfileDef,#654,IFCARBITRARYOPENPROFILEDEF,#653,CURVE
IfcArbitraryOpenProfileDef,#662,IFCARBITRARYOPENPROFILEDEF,#661,CURVE
IfcArbitraryOpenProfileDef,#670,IFCARBITRARYOPENPROFILEDEF,#669,CURVE
IfcArbitraryOpenProfileDef,#678,IFCARBITRARYOPENPROFILEDEF,#677,CURVE
IfcArbitraryOpenProfileDef,#685,IFCARBITRARYOPENPROFILEDEF,#684,CURVE
IfcArbitraryOpenProfileDef,#911,IFCARBITRARYOPENPROFILEDEF,#910,CURVE
IfcArbitraryOpenProfileDef,#918,IFCARBITRARYOPENPROFILEDEF,#917,CURVE
IfcArbitraryOpenProfileDef,#925,IFCARBITRARYOPENPROFILEDEF,#924,CURVE
IfcArbitraryOpenProfileDef,#932,IFCARBITRARYOPENPROFILEDEF,#931,CURVE
IfcArbitraryOpenProfileDef,#939,IFCARBITRARYOPENPROFILEDEF,#938,CURVE
IfcArbitraryOpenProfileDef,#946,IFCARBITRARYOPENPROFILEDEF,#945,CURVE
IfcArbitraryOpenProfileDef,#953,IFCARBITRARYOPENPROFILEDEF,#952,CURVE
IfcArbitraryOpenProfileDef,#960,IFCARBITRARYOPENPROFILEDEF,#959,CURVE
IfcArbitraryOpenProfileDef,#967,IFCARBITRARYOPENPROFILEDEF,#966,CURVE
IfcArbitraryOpenProfileDef,#974,IFCARBITRARYOPENPROFILEDEF,#973,CURVE
IfcArbitraryOpenProfileDef,#981,IFCARBITRARYOPENPROFILEDEF,#980,CURVE
IfcArbitraryOpenProfileDef,#988,IFCARBITRARYOPENPROFILEDEF,#987,CURVE
IfcArbitraryOpenProfileDef,#995,IFCARBITRARYOPENPROFILEDEF,#994,CURVE
IfcArbitraryOpenProfileDef,#1003,IFCARBITRARYOPENPROFILEDEF,#1002,CURVE
IfcArbitraryOpenProfileDef,#1110,IFCARBITRARYOPENPROFILEDEF,#1109,CURVE
IfcArbitraryOpenProfileDef,#1117,IFCARBITRARYOPENPROFILEDEF,#1116,CURVE
IfcArbitraryOpenProfileDef,#1124,IFCARBITRARYOPENPROFILEDEF,#1123,CURVE
IfcArbitraryOpenProfileDef,#1131,IFCARBITRARYOPENPROFILEDEF,#1130,CURVE
IfcArbitraryOpenProfileDef,#1138,IFCARBITRARYOPENPROFILEDEF,#1137,CURVE
IfcArbitraryOpenProfileDef,#1145,IFCARBITRARYOPENPROFILEDEF,#1144,CURVE
IfcArbitraryOpenProfileDef,#1152,IFCARBITRARYOPENPROFILEDEF,#1151,CURVE
IfcArbitraryOpenProfileDef,#1275,IFCARBITRARYOPENPROFILEDEF,#1274,CURVE
IfcArbitraryOpenProfileDef,#1282,IFCARBITRARYOPENPROFILEDEF,#1281,CURVE
IfcArbitraryOpenProfileDef,#1289,IFCARBITRARYOPENPROFILEDEF,#1288,CURVE
IfcArbitraryOpenProfileDef,#1296,IFCARBITRARYOPENPROFILEDEF,#1295,CURVE
IfcArbitraryOpenProfileDef,#1304,IFCARBITRARYOPENPROFILEDEF,#1303,CURVE
IfcArbitraryOpenProfileDef,#1312,IFCARBITRARYOPENPROFILEDEF,#1311,CURVE
IfcArbitraryOpenProfileDef,#1319,IFCARBITRARYOPENPROFILEDEF,#1318,CURVE
IfcArbitraryOpenProfileDef,#1327,IFCARBITRARYOPENPROFILEDEF,#1326,CURVE
IfcArbitraryOpenProfileDef,#1335,IFCARBITRARYOPENPROFILEDEF,#1334,CURVE
IfcArbitraryOpenProfileDef,#1342,IFCARBITRARYOPENPROFILEDEF,#1341,CURVE
IfcArbitraryOpenProfileDef,#1349,IFCARBITRARYOPENPROFILEDEF,#1348,CURVE
IfcArbitraryOpenProfileDef,#1356,IFCARBITRARYOPENPROFILEDEF,#1355,CURVE
IfcArbitraryOpenProfileDef,#1363,IFCARBITRARYOPENPROFILEDEF,#1362,CURVE
IfcArbitraryOpenProfileDef,#1370,IFCARBITRARYOPENPROFILEDEF,#1369,CURVE
IfcArbitraryOpenProfileDef,#1377,IFCARBITRARYOPENPROFILEDEF,#1376,CURVE
IfcArbitraryOpenProfileDef,#1498,IFCARBITRARYOPENPROFILEDEF,#1497,CURVE
IfcArbitraryOpenProfileDef,#1505,IFCARBITRARYOPENPROFILEDEF,#1504,CURVE
IfcArbitraryOpenProfileDef,#1512,IFCARBITRARYOPENPROFILEDEF,#1511,CURVE
IfcArbitraryOpenProfileDef,#1519,IFCARBITRARYOPENPROFILEDEF,#1518,CURVE
IfcArbitraryOpenProfileDef,#1526,IFCARBITRARYOPENPROFILEDEF,#1525,CURVE
IfcArbitraryOpenProfileDef,#1533,IFCARBITRARYOPENPROFILEDEF,#1532,CURVE
IfcArbitraryOpenProfileDef,#1540,IFCARBITRARYOPENPROFILEDEF,#1539,CURVE
IfcArbitraryOpenProfileDef,#1547,IFCARBITRARYOPENPROFILEDEF,#1546,CURVE
IfcArbitraryOpenProfileDef,#1555,IFCARBITRARYOPENPROFILEDEF,#1554,CURVE
IfcArbitraryOpenProfileDef,#1563,IFCARBITRARYOPENPROFILEDEF,#1562,CURVE
IfcArbitraryOpenProfileDef,#1570,IFCARBITRARYOPENPROFILEDEF,#1569,CURVE
IfcArbitraryOpenProfileDef,#1665,IFCARBITRARYOPENPROFILEDEF,#1664,CURVE
IfcArbitraryOpenProfileDef,#1672,IFCARBITRARYOPENPROFILEDEF,#1671,CURVE
