:LABEL,id,ifc_type
IfcAxis2Placement3D,#26,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#45,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#58,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#76,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#87,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#95,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#102,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#110,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#117,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#124,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#132,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#140,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#148,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#156,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#206,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#225,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#238,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#248,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#256,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#264,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#271,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#279,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#287,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#294,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#301,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#349,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#366,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#380,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#388,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#400,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#408,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#415,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#422,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#429,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#436,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#443,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#486,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#508,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#537,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#547,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#555,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#563,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#589,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#597,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#604,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#611,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#619,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#627,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#634,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#641,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#648,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#655,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#663,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#671,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#679,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#686,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#828,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#840,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#851,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#861,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#887,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#898,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#912,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#919,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#926,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#933,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#940,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#947,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#954,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#961,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#968,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#975,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#982,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#989,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#996,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1004,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1053,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1070,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1079,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1091,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1103,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1111,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1118,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1125,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1132,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1139,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1146,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1153,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1212,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1231,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1245,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1254,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1268,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1276,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1283,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1290,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1298,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1306,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1313,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1321,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1329,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1336,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1343,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1350,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1357,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1364,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1371,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1378,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1436,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1455,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1464,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1477,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1491,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1499,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1506,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1513,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1520,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1527,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1534,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1541,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1549,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1557,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1564,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1572,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1621,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1638,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1647,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1658,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1666,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1673,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1681,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1688,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1695,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1703,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1711,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1719,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1727,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1776,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1797,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1810,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1820,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1828,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1836,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1843,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1851,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1859,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1866,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1873,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1916,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1922,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1938,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1949,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1960,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1974,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1982,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#1994,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2002,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2009,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2016,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2023,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2030,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2037,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2080,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2102,IFCAXIS2PLACEMENT3D
IfcAxis2Placement3D,#2130,IFCAXIS2PLACEMENT3D
