:LABEL,global_id,id,ifc_type,name
IfcWindow,1hOSvn6df7F8_7GcBWlR72,#6426,IFCWINDOW,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:145788
IfcWindow,1hOSvn6df7F8_7GcBWlRBU,#6531,IFCWINDOW,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:146016
IfcWindow,1hOSvn6df7F8_7GcBWlRLx,#6921,IFCWINDOW,M_Fixed:750mm x 2200mm:750mm x 2200mm:146885
IfcWindow,1hOSvn6df7F8_7GcBWlRRL,#7025,IFCWINDOW,M_Fixed:750mm x 2200mm:750mm x 2200mm:147051
IfcWindow,1hOSvn6df7F8_7GcBWlSXO,#7190,IFCWINDOW,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:147686
IfcWindow,1hOSvn6df7F8_7GcBWlSga,#7407,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:147994
IfcWindow,1hOSvn6df7F8_7GcBWlSp1,#7639,IFCWINDOW,M_Casement:819mm x 759mm:819mm x 759mm:148607
IfcWindow,1hOSvn6df7F8_7GcBWlSnC,#7743,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:148722
IfcWindow,1hOSvn6df7F8_7GcBWlS_W,#7795,IFCWINDOW,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:149278
IfcWindow,1hOSvn6df7F8_7GcBWlS2V,#7847,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:149537
IfcWindow,1hOSvn6df7F8_7GcBWlS1M,#7899,IFCWINDOW,M_Casement:819mm x 759mm:819mm x 759mm:149736
IfcWindow,1hOSvn6df7F8_7GcBWlS4Q,#7951,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:149924
IfcWindow,1l0GAJtRTFv8$zmKJOH4$e,#21980,IFCWINDOW,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:180318
IfcWindow,1l0GAJtRTFv8$zmKJOH4u1,#22032,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:180663
IfcWindow,1l0GAJtRTFv8$zmKJOH4qs,#22084,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:180864
IfcWindow,1l0GAJtRTFv8$zmKJOH4oq,#22136,IFCWINDOW,M_Casement:819mm x 759mm:819mm x 759mm:180994
IfcWindow,1l0GAJtRTFv8$zmKJOH4pU,#22188,IFCWINDOW,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:181096
IfcWindow,1l0GAJtRTFv8$zmKJOH4kJ,#22240,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:181285
IfcWindow,1l0GAJtRTFv8$zmKJOH4gQ,#22292,IFCWINDOW,M_Casement:819mm x 759mm:819mm x 759mm:181548
IfcWindow,1l0GAJtRTFv8$zmKJOH4hv,#22344,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:181583
IfcWindow,1l0GAJtRTFv8$zmKJOH4aS,#22396,IFCWINDOW,M_Fixed:750mm x 2200mm:750mm x 2200mm:181930
IfcWindow,1l0GAJtRTFv8$zmKJOH4ZZ,#22448,IFCWINDOW,M_Fixed:750mm x 2200mm:750mm x 2200mm:182101
IfcWindow,1Eo2$BaHX42AEkDvQQDocD,#23162,IFCWINDOW,M_Skylight:1180 x 1170mm:1180 x 1170mm:185337
IfcWindow,1Eo2$BaHX42AEkDvQQDoy2,#23251,IFCWINDOW,M_Skylight:1180 x 1170mm:1180 x 1170mm:185718
