:START_ID,:END_ID,:TYPE
#76,#10,HAS_AXIS
#87,#10,HAS_AXIS
#238,#10,HAS_AXIS
#248,#10,HAS_AXIS
#380,#10,HAS_AXIS
#388,#10,HAS_AXIS
#400,#10,HAS_AXIS
#508,#10,HAS_AXIS
#537,#10,HAS_AXIS
#547,#10,HAS_AXIS
#555,#10,HAS_AXIS
#563,#10,HAS_AXIS
#589,#10,HAS_AXIS
#828,#10,HAS_AXIS
#840,#10,HAS_AXIS
#851,#10,HAS_AXIS
#861,#10,HAS_AXIS
#887,#10,HAS_AXIS
#1079,#10,HAS_AXIS
#1091,#10,HAS_AXIS
#1103,#10,HAS_AXIS
#1254,#10,HAS_AXIS
#1268,#10,HAS_AXIS
#1455,#10,HAS_AXIS
#1464,#10,HAS_AXIS
#1477,#10,HAS_AXIS
#1491,#10,HAS_AXIS
#1647,#10,HAS_AXIS
#1658,#10,HAS_AXIS
#1797,#10,HAS_AXIS
#1810,#10,HAS_AXIS
#1820,#10,HAS_AXIS
#1982,#10,HAS_AXIS
#1994,#10,HAS_AXIS
#2130,#10,HAS_AXIS
#2140,#10,HAS_AXIS
#2148,#10,HAS_AXIS
#2156,#10,HAS_AXIS
#2421,#10,HAS_AXIS
#2433,#10,HAS_AXIS
#2444,#10,HAS_AXIS
#2454,#10,HAS_AXIS
#2480,#10,HAS_AXIS
#2669,#10,HAS_AXIS
#2681,#10,HAS_AXIS
#2802,#10,HAS_AXIS
#2816,#10,HAS_AXIS
#2825,#10,HAS_AXIS
#2839,#10,HAS_AXIS
#3048,#10,HAS_AXIS
#3062,#10,HAS_AXIS
#3219,#10,HAS_AXIS
#3228,#10,HAS_AXIS
#3347,#10,HAS_AXIS
#3356,#10,HAS_AXIS
#3450,#5,HAS_AXIS
#3483,#10,HAS_AXIS
#3580,#5,HAS_AXIS
#3613,#10,HAS_AXIS
#5156,#10,HAS_AXIS
#5261,#10,HAS_AXIS
#6126,#10,HAS_AXIS
#6241,#10,HAS_AXIS
#8456,#5,HAS_AXIS
#8487,#5,HAS_AXIS
#8515,#5,HAS_AXIS
#8543,#5,HAS_AXIS
#8571,#5,HAS_AXIS
#8599,#5,HAS_AXIS
#8627,#5,HAS_AXIS
#8655,#5,HAS_AXIS
#8683,#5,HAS_AXIS
#8711,#5,HAS_AXIS
#8739,#5,HAS_AXIS
#8767,#5,HAS_AXIS
#8795,#5,HAS_AXIS
#8823,#5,HAS_AXIS
#8851,#5,HAS_AXIS
#8995,#5,HAS_AXIS
#9013,#5,HAS_AXIS
#9538,#5,HAS_AXIS
#9544,#9543,HAS_AXIS
#9551,#9550,HAS_AXIS
#9558,#9557,HAS_AXIS
#9565,#9564,HAS_AXIS
#9572,#9571,HAS_AXIS
#9579,#9578,HAS_AXIS
#9586,#9585,HAS_AXIS
#9593,#9592,HAS_AXIS
#9600,#9599,HAS_AXIS
#9607,#9606,HAS_AXIS
#9614,#9613,HAS_AXIS
#9621,#9620,HAS_AXIS
#9628,#9627,HAS_AXIS
#9635,#9634,HAS_AXIS
#9642,#9641,HAS_AXIS
#9649,#9648,HAS_AXIS
#9656,#9655,HAS_AXIS
#9663,#9662,HAS_AXIS
#9670,#9669,HAS_AXIS
#9677,#9676,HAS_AXIS
#9684,#9683,HAS_AXIS
#9691,#9690,HAS_AXIS
#9698,#9697,HAS_AXIS
#9705,#9704,HAS_AXIS
#9712,#9711,HAS_AXIS
#9719,#9718,HAS_AXIS
#9726,#9725,HAS_AXIS
#9733,#9732,HAS_AXIS
#9740,#9739,HAS_AXIS
#9777,#9775,HAS_AXIS
#12660,#5,HAS_AXIS
#13369,#5,HAS_AXIS
#14078,#5,HAS_AXIS
