:START_ID,:END_ID,:TYPE
#36686,#36702,HAS_PROPERTIES
#36686,#36786,HAS_PROPERTIES
#36686,#36788,HAS_PROPERTIES
#36686,#36790,HAS_PROPERTIES
#36686,#36792,HAS_PROPERTIES
#36686,#36794,HAS_PROPERTIES
#36686,#36796,HAS_PROPERTIES
#36686,#36798,HAS_PROPERTIES
#36686,#36800,HAS_PROPERTIES
#36686,#36802,HAS_PROPERTIES
#36892,#36896,HAS_PROPERTIES
#36892,#36960,HAS_PROPERTIES
#36892,#36962,HAS_PROPERTIES
#36892,#36964,HAS_PROPERTIES
#36892,#36966,HAS_PROPERTIES
#36892,#36968,HAS_PROPERTIES
#36892,#36970,HAS_PROPERTIES
#36892,#36972,HAS_PROPERTIES
#36892,#36974,HAS_PROPERTIES
#36892,#36976,HAS_PROPERTIES
#37065,#37069,HAS_PROPERTIES
#37065,#37094,HAS_PROPERTIES
#37065,#37096,HAS_PROPERTIES
#37065,#37098,HAS_PROPERTIES
#37065,#37100,HAS_PROPERTIES
#37065,#37102,HAS_PROPERTIES
#37065,#37104,HAS_PROPERTIES
#37065,#37106,HAS_PROPERTIES
#37065,#37108,HAS_PROPERTIES
#37065,#37110,HAS_PROPERTIES
#37195,#37199,HAS_PROPERTIES
#37195,#37224,HAS_PROPERTIES
#37195,#37226,HAS_PROPERTIES
#37195,#37228,HAS_PROPERTIES
#37195,#37230,HAS_PROPERTIES
#37195,#37232,HAS_PROPERTIES
#37195,#37234,HAS_PROPERTIES
#37195,#37236,HAS_PROPERTIES
#37195,#37238,HAS_PROPERTIES
#37195,#37240,HAS_PROPERTIES
#37325,#37329,HAS_PROPERTIES
#37325,#37354,HAS_PROPERTIES
#37325,#37356,HAS_PROPERTIES
#37325,#37358,HAS_PROPERTIES
#37325,#37360,HAS_PROPERTIES
#37325,#37362,HAS_PROPERTIES
#37325,#37364,HAS_PROPERTIES
#37325,#37366,HAS_PROPERTIES
#37325,#37368,HAS_PROPERTIES
#37325,#37370,HAS_PROPERTIES
#37456,#37460,HAS_PROPERTIES
#37456,#37485,HAS_PROPERTIES
#37456,#37487,HAS_PROPERTIES
#37456,#37489,HAS_PROPERTIES
#37456,#37491,HAS_PROPERTIES
#37456,#37493,HAS_PROPERTIES
#37456,#37495,HAS_PROPERTIES
#37456,#37497,HAS_PROPERTIES
#37456,#37499,HAS_PROPERTIES
#37456,#37501,HAS_PROPERTIES
#37586,#37590,HAS_PROPERTIES
#37586,#37615,HAS_PROPERTIES
#37586,#37617,HAS_PROPERTIES
#37586,#37619,HAS_PROPERTIES
#37586,#37621,HAS_PROPERTIES
#37586,#37623,HAS_PROPERTIES
#37586,#37625,HAS_PROPERTIES
#37586,#37627,HAS_PROPERTIES
#37586,#37629,HAS_PROPERTIES
#37586,#37631,HAS_PROPERTIES
#37716,#37720,HAS_PROPERTIES
#37716,#37745,HAS_PROPERTIES
#37716,#37747,HAS_PROPERTIES
#37716,#37749,HAS_PROPERTIES
#37716,#37751,HAS_PROPERTIES
#37716,#37753,HAS_PROPERTIES
#37716,#37755,HAS_PROPERTIES
#37716,#37757,HAS_PROPERTIES
#37716,#37759,HAS_PROPERTIES
#37716,#37761,HAS_PROPERTIES
#36892,#36978,HAS_PROPERTIES
#37065,#36978,HAS_PROPERTIES
#37195,#36978,HAS_PROPERTIES
#37456,#36978,HAS_PROPERTIES
#37586,#36978,HAS_PROPERTIES
#37716,#36978,HAS_PROPERTIES
#36892,#36979,HAS_PROPERTIES
#37065,#36979,HAS_PROPERTIES
#37195,#36979,HAS_PROPERTIES
#37456,#36979,HAS_PROPERTIES
#37586,#36979,HAS_PROPERTIES
#37716,#36979,HAS_PROPERTIES
#36892,#36980,HAS_PROPERTIES
#37065,#36980,HAS_PROPERTIES
#37195,#36980,HAS_PROPERTIES
#37456,#36980,HAS_PROPERTIES
#37586,#36980,HAS_PROPERTIES
#37716,#36980,HAS_PROPERTIES
#36892,#36981,HAS_PROPERTIES
#37065,#36981,HAS_PROPERTIES
#37195,#36981,HAS_PROPERTIES
#37456,#36981,HAS_PROPERTIES
#37586,#36981,HAS_PROPERTIES
#37716,#36981,HAS_PROPERTIES
#36686,#36804,HAS_PROPERTIES
#37325,#36804,HAS_PROPERTIES
#36686,#36805,HAS_PROPERTIES
#37325,#36805,HAS_PROPERTIES
#36686,#36806,HAS_PROPERTIES
#37325,#36806,HAS_PROPERTIES
#36686,#36807,HAS_PROPERTIES
#37325,#36807,HAS_PROPERTIES
