:START_ID,:END_ID,:TYPE
#39,#38288,HAS_PROPERTIES
#39,#38290,HAS_PROPERTIES
#39,#38292,HAS_PROPERTIES
#43,#38302,HAS_PROPERTIES
#43,#38304,HAS_PROPERTIES
#43,#38306,HAS_PROPERTIES
#47,#38313,HAS_PROPERTIES
#47,#38315,HAS_PROPERTIES
#47,#38317,HAS_PROPERTIES
#51,#38323,HAS_PROPERTIES
#51,#38325,HAS_PROPERTIES
#51,#38327,HAS_PROPERTIES
#39,#38294,HAS_PROPERTIES
#43,#38294,HAS_PROPERTIES
#47,#38294,HAS_PROPERTIES
#51,#38294,HAS_PROPERTIES
#39,#38295,HAS_PROPERTIES
#43,#38295,HAS_PROPERTIES
#47,#38295,HAS_PROPERTIES
#51,#38295,HAS_PROPERTIES
#39,#38296,HAS_PROPERTIES
#43,#38296,HAS_PROPERTIES
#47,#38296,HAS_PROPERTIES
#51,#38296,HAS_PROPERTIES
