:START_ID,:END_ID,:TYPE
#39,#3797,CONTAINS
#39,#3999,CONTAINS
#39,#4043,CONTAINS
#39,#4087,CONTAINS
#39,#4131,CONTAINS
#39,#4219,CONTAINS
#39,#4287,CONTAINS
#39,#4399,CONTAINS
#39,#4465,CONTAINS
#39,#4508,CONTAINS
#39,#4553,CONTAINS
#39,#4598,CONTAINS
#39,#5642,CONTAINS
#39,#5903,CONTAINS
#39,#24596,CONTAINS
#39,#24680,CONTAINS
#39,#24723,CONTAINS
#39,#24768,CONTAINS
#39,#24813,CONTAINS
#39,#35452,CONTAINS
#39,#35497,CONTAINS
#43,#5448,CONTAINS
#43,#5498,CONTAINS
#43,#5548,CONTAINS
#43,#5598,CONTAINS
#43,#5687,CONTAINS
#43,#5731,CONTAINS
#43,#5775,CONTAINS
#43,#5859,CONTAINS
#43,#5948,CONTAINS
#43,#5992,CONTAINS
#43,#6036,CONTAINS
#43,#6080,CONTAINS
#43,#31431,CONTAINS
#43,#31476,CONTAINS
#43,#35199,CONTAINS
#43,#35357,CONTAINS
#43,#37913,CONTAINS
#43,#37970,CONTAINS
#43,#38015,CONTAINS
#43,#38060,CONTAINS
#43,#38105,CONTAINS
#43,#38150,CONTAINS
#43,#38195,CONTAINS
#43,#38240,CONTAINS
#47,#4643,CONTAINS
#47,#4818,CONTAINS
#47,#4868,CONTAINS
#47,#4918,CONTAINS
#47,#4968,CONTAINS
#47,#5057,CONTAINS
#47,#5106,CONTAINS
#51,#22663,CONTAINS
#51,#22708,CONTAINS
#51,#22753,CONTAINS
#51,#22798,CONTAINS
