:START_ID,:END_ID,:TYPE
#39,#6426,CONTAINS
#39,#6531,CONTAINS
#39,#6921,CONTAINS
#39,#7025,CONTAINS
#43,#7190,CONTAINS
#43,#7407,CONTAINS
#43,#7639,CONTAINS
#43,#7743,CONTAINS
#43,#7795,CONTAINS
#43,#7847,CONTAINS
#43,#7899,CONTAINS
#43,#7951,CONTAINS
#43,#21980,CONTAINS
#43,#22032,CONTAINS
#43,#22084,CONTAINS
#43,#22136,CONTAINS
#43,#22188,CONTAINS
#43,#22240,CONTAINS
#43,#22292,CONTAINS
#43,#22344,CONTAINS
#43,#22396,CONTAINS
#43,#22448,CONTAINS
#51,#23162,CONTAINS
#51,#23251,CONTAINS
