:START_ID,:END_ID,:TYPE
#23671,#23678,HAS_PROPERTIES
#23671,#23724,HAS_PROPERTIES
#23671,#23726,HAS_PROPERTIES
#23671,#23728,HAS_PROPERTIES
#23671,#23730,HAS_PROPERTIES
#23768,#23772,HAS_PROPERTIES
#23768,#23786,HAS_PROPERTIES
#23768,#23788,HAS_PROPERTIES
#23768,#23790,HAS_PROPERTIES
#23768,#23792,HAS_PROPERTIES
#23826,#23830,HAS_PROPERTIES
#23826,#23844,HAS_PROPERTIES
#23826,#23846,HAS_PROPERTIES
#23826,#23848,HAS_PROPERTIES
#23826,#23850,HAS_PROPERTIES
#23884,#23888,HAS_PROPERTIES
#23884,#23902,HAS_PROPERTIES
#23884,#23904,HAS_PROPERTIES
#23884,#23906,HAS_PROPERTIES
#23884,#23908,HAS_PROPERTIES
#23992,#23996,HAS_PROPERTIES
#23992,#24010,HAS_PROPERTIES
#23992,#24012,HAS_PROPERTIES
#23992,#24014,HAS_PROPERTIES
#23992,#24016,HAS_PROPERTIES
#24060,#24064,HAS_PROPERTIES
#24060,#24078,HAS_PROPERTIES
#24060,#24080,HAS_PROPERTIES
#24060,#24082,HAS_PROPERTIES
#24060,#24084,HAS_PROPERTIES
#24128,#24132,HAS_PROPERTIES
#24128,#24146,HAS_PROPERTIES
#24128,#24148,HAS_PROPERTIES
#24128,#24150,HAS_PROPERTIES
#24128,#24152,HAS_PROPERTIES
#24186,#24190,HAS_PROPERTIES
#24186,#24204,HAS_PROPERTIES
#24186,#24206,HAS_PROPERTIES
#24186,#24208,HAS_PROPERTIES
#24186,#24210,HAS_PROPERTIES
#24268,#24272,HAS_PROPERTIES
#24268,#24286,HAS_PROPERTIES
#24268,#24288,HAS_PROPERTIES
#24268,#24290,HAS_PROPERTIES
#24268,#24292,HAS_PROPERTIES
#24326,#24330,HAS_PROPERTIES
#24326,#24344,HAS_PROPERTIES
#24326,#24346,HAS_PROPERTIES
#24326,#24348,HAS_PROPERTIES
#24326,#24350,HAS_PROPERTIES
#24408,#24412,HAS_PROPERTIES
#24408,#24426,HAS_PROPERTIES
#24408,#24428,HAS_PROPERTIES
#24408,#24430,HAS_PROPERTIES
#24408,#24432,HAS_PROPERTIES
#24476,#24480,HAS_PROPERTIES
#24476,#24494,HAS_PROPERTIES
#24476,#24496,HAS_PROPERTIES
#24476,#24498,HAS_PROPERTIES
#24476,#24500,HAS_PROPERTIES
#24544,#24548,HAS_PROPERTIES
#24544,#24562,HAS_PROPERTIES
#24544,#24564,HAS_PROPERTIES
#24544,#24566,HAS_PROPERTIES
#24544,#24568,HAS_PROPERTIES
#23671,#23732,HAS_PROPERTIES
#23768,#23732,HAS_PROPERTIES
#23826,#23732,HAS_PROPERTIES
#23884,#23732,HAS_PROPERTIES
#23992,#23732,HAS_PROPERTIES
#24060,#23732,HAS_PROPERTIES
#24128,#23732,HAS_PROPERTIES
#24186,#23732,HAS_PROPERTIES
#24268,#23732,HAS_PROPERTIES
#24326,#23732,HAS_PROPERTIES
#24408,#23732,HAS_PROPERTIES
#24476,#23732,HAS_PROPERTIES
#24544,#23732,HAS_PROPERTIES
#23671,#23733,HAS_PROPERTIES
#23768,#23733,HAS_PROPERTIES
#23826,#23733,HAS_PROPERTIES
#23884,#23733,HAS_PROPERTIES
#23992,#23733,HAS_PROPERTIES
#24060,#23733,HAS_PROPERTIES
#24128,#23733,HAS_PROPERTIES
#24186,#23733,HAS_PROPERTIES
#24268,#23733,HAS_PROPERTIES
#24326,#23733,HAS_PROPERTIES
#24408,#23733,HAS_PROPERTIES
#24476,#23733,HAS_PROPERTIES
#24544,#23733,HAS_PROPERTIES
#23671,#23734,HAS_PROPERTIES
#23768,#23734,HAS_PROPERTIES
#23826,#23734,HAS_PROPERTIES
#23884,#23734,HAS_PROPERTIES
#23992,#23734,HAS_PROPERTIES
#24060,#23734,HAS_PROPERTIES
#24128,#23734,HAS_PROPERTIES
#24186,#23734,HAS_PROPERTIES
#24268,#23734,HAS_PROPERTIES
#24326,#23734,HAS_PROPERTIES
#24408,#23734,HAS_PROPERTIES
#24476,#23734,HAS_PROPERTIES
#24544,#23734,HAS_PROPERTIES
#23671,#23735,HAS_PROPERTIES
#23768,#23735,HAS_PROPERTIES
#23826,#23735,HAS_PROPERTIES
#23884,#23735,HAS_PROPERTIES
#23992,#23735,HAS_PROPERTIES
#24060,#23735,HAS_PROPERTIES
#24128,#23735,HAS_PROPERTIES
#24186,#23735,HAS_PROPERTIES
#24268,#23735,HAS_PROPERTIES
#24326,#23735,HAS_PROPERTIES
#24408,#23735,HAS_PROPERTIES
#24476,#23735,HAS_PROPERTIES
#24544,#23735,HAS_PROPERTIES
