:START_ID,:END_ID,:TYPE
#23286,#23340,HAS_PROPERTIES
#23286,#23342,HAS_PROPERTIES
#23286,#23344,HAS_PROPERTIES
#23286,#23346,HAS_PROPERTIES
#23286,#23348,HAS_PROPERTIES
#23286,#23350,HAS_PROPERTIES
#23369,#23384,HAS_PROPERTIES
#23369,#23386,HAS_PROPERTIES
#23369,#23388,HAS_PROPERTIES
#23369,#23390,HAS_PROPERTIES
#23369,#23392,HAS_PROPERTIES
#23369,#23394,HAS_PROPERTIES
#23408,#23423,HAS_PROPERTIES
#23408,#23425,HAS_PROPERTIES
#23408,#23427,HAS_PROPERTIES
#23408,#23429,HAS_PROPERTIES
#23408,#23431,HAS_PROPERTIES
#23408,#23433,HAS_PROPERTIES
#23446,#23461,HAS_PROPERTIES
#23446,#23463,HAS_PROPERTIES
#23446,#23465,HAS_PROPERTIES
#23446,#23467,HAS_PROPERTIES
#23446,#23469,HAS_PROPERTIES
#23446,#23471,HAS_PROPERTIES
#23485,#23500,HAS_PROPERTIES
#23485,#23502,HAS_PROPERTIES
#23485,#23504,HAS_PROPERTIES
#23485,#23506,HAS_PROPERTIES
#23485,#23508,HAS_PROPERTIES
#23485,#23510,HAS_PROPERTIES
#23524,#23539,HAS_PROPERTIES
#23524,#23541,HAS_PROPERTIES
#23524,#23543,HAS_PROPERTIES
#23524,#23545,HAS_PROPERTIES
#23524,#23547,HAS_PROPERTIES
#23524,#23549,HAS_PROPERTIES
#23562,#23577,HAS_PROPERTIES
#23562,#23579,HAS_PROPERTIES
#23562,#23581,HAS_PROPERTIES
#23562,#23583,HAS_PROPERTIES
#23562,#23585,HAS_PROPERTIES
#23562,#23587,HAS_PROPERTIES
#23286,#23352,HAS_PROPERTIES
#23369,#23352,HAS_PROPERTIES
#23408,#23352,HAS_PROPERTIES
#23446,#23352,HAS_PROPERTIES
#23485,#23352,HAS_PROPERTIES
#23524,#23352,HAS_PROPERTIES
#23562,#23352,HAS_PROPERTIES
#23286,#23353,HAS_PROPERTIES
#23369,#23353,HAS_PROPERTIES
#23408,#23353,HAS_PROPERTIES
#23446,#23353,HAS_PROPERTIES
#23485,#23353,HAS_PROPERTIES
#23524,#23353,HAS_PROPERTIES
#23562,#23353,HAS_PROPERTIES
#23286,#23354,HAS_PROPERTIES
#23369,#23354,HAS_PROPERTIES
#23408,#23354,HAS_PROPERTIES
#23446,#23354,HAS_PROPERTIES
#23485,#23354,HAS_PROPERTIES
#23524,#23354,HAS_PROPERTIES
#23562,#23354,HAS_PROPERTIES
#23286,#23355,HAS_PROPERTIES
#23369,#23355,HAS_PROPERTIES
#23408,#23355,HAS_PROPERTIES
#23446,#23355,HAS_PROPERTIES
#23485,#23355,HAS_PROPERTIES
#23524,#23355,HAS_PROPERTIES
#23562,#23355,HAS_PROPERTIES
#23286,#23356,HAS_PROPERTIES
#23369,#23356,HAS_PROPERTIES
#23408,#23356,HAS_PROPERTIES
#23446,#23356,HAS_PROPERTIES
#23485,#23356,HAS_PROPERTIES
#23524,#23356,HAS_PROPERTIES
#23562,#23356,HAS_PROPERTIES
