:START_ID,:END_ID,:TYPE
#12574,#12637,HAS_PROPERTIES
#12574,#12639,HAS_PROPERTIES
#12574,#12641,HAS_PROPERTIES
#12976,#12996,HAS_PROPERTIES
#12976,#12998,HAS_PROPERTIES
#12976,#13000,HAS_PROPERTIES
#13331,#13351,HAS_PROPERTIES
#13331,#13353,HAS_PROPERTIES
#13331,#13355,HAS_PROPERTIES
#13685,#13705,HAS_PROPERTIES
#13685,#13707,HAS_PROPERTIES
#13685,#13709,HAS_PROPERTIES
#14040,#14060,HAS_PROPERTIES
#14040,#14062,HAS_PROPERTIES
#14040,#14064,HAS_PROPERTIES
#14394,#14414,HAS_PROPERTIES
#14394,#14416,HAS_PROPERTIES
#14394,#14418,HAS_PROPERTIES
#14749,#14769,HAS_PROPERTIES
#14749,#14771,HAS_PROPERTIES
#14749,#14773,HAS_PROPERTIES
#15103,#15123,HAS_PROPERTIES
#15103,#15125,HAS_PROPERTIES
#15103,#15127,HAS_PROPERTIES
#15463,#15512,HAS_PROPERTIES
#15463,#15514,HAS_PROPERTIES
#15463,#15516,HAS_PROPERTIES
#15856,#15866,HAS_PROPERTIES
#15856,#15868,HAS_PROPERTIES
#15856,#15870,HAS_PROPERTIES
#16149,#16159,HAS_PROPERTIES
#16149,#16161,HAS_PROPERTIES
#16149,#16163,HAS_PROPERTIES
#16175,#16185,HAS_PROPERTIES
#16175,#16187,HAS_PROPERTIES
#16175,#16189,HAS_PROPERTIES
#16261,#16359,HAS_PROPERTIES
#16261,#16361,HAS_PROPERTIES
#16261,#16363,HAS_PROPERTIES
#16261,#16365,HAS_PROPERTIES
#16411,#16460,HAS_PROPERTIES
#16411,#16462,HAS_PROPERTIES
#16411,#16464,HAS_PROPERTIES
#16411,#16466,HAS_PROPERTIES
#16411,#16468,HAS_PROPERTIES
#16485,#16495,HAS_PROPERTIES
#16485,#16497,HAS_PROPERTIES
#16485,#16499,HAS_PROPERTIES
#16531,#16543,HAS_PROPERTIES
#16531,#16545,HAS_PROPERTIES
#16531,#16547,HAS_PROPERTIES
#16531,#16549,HAS_PROPERTIES
#16531,#16551,HAS_PROPERTIES
#16563,#16573,HAS_PROPERTIES
#16563,#16575,HAS_PROPERTIES
#16563,#16577,HAS_PROPERTIES
#16589,#16599,HAS_PROPERTIES
#16589,#16601,HAS_PROPERTIES
#16589,#16603,HAS_PROPERTIES
#16615,#16625,HAS_PROPERTIES
#16615,#16627,HAS_PROPERTIES
#16615,#16629,HAS_PROPERTIES
#16641,#16651,HAS_PROPERTIES
#16641,#16653,HAS_PROPERTIES
#16641,#16655,HAS_PROPERTIES
#16667,#16677,HAS_PROPERTIES
#16667,#16679,HAS_PROPERTIES
#16667,#16681,HAS_PROPERTIES
#16693,#16703,HAS_PROPERTIES
#16693,#16705,HAS_PROPERTIES
#16693,#16707,HAS_PROPERTIES
#16719,#16729,HAS_PROPERTIES
#16719,#16731,HAS_PROPERTIES
#16719,#16733,HAS_PROPERTIES
#16802,#16863,HAS_PROPERTIES
#16802,#16865,HAS_PROPERTIES
#16802,#16867,HAS_PROPERTIES
#16802,#16869,HAS_PROPERTIES
#16884,#16894,HAS_PROPERTIES
#16884,#16896,HAS_PROPERTIES
#16884,#16898,HAS_PROPERTIES
#16884,#16900,HAS_PROPERTIES
#16884,#16902,HAS_PROPERTIES
#16914,#16924,HAS_PROPERTIES
#16914,#16926,HAS_PROPERTIES
#16914,#16928,HAS_PROPERTIES
#16940,#16951,HAS_PROPERTIES
#16940,#16953,HAS_PROPERTIES
#16940,#16955,HAS_PROPERTIES
#16940,#16957,HAS_PROPERTIES
#16940,#16959,HAS_PROPERTIES
#16971,#16981,HAS_PROPERTIES
#16971,#16983,HAS_PROPERTIES
#16971,#16985,HAS_PROPERTIES
#16997,#17007,HAS_PROPERTIES
#16997,#17009,HAS_PROPERTIES
#16997,#17011,HAS_PROPERTIES
#17023,#17033,HAS_PROPERTIES
#17023,#17035,HAS_PROPERTIES
#17023,#17037,HAS_PROPERTIES
#17341,#17386,HAS_PROPERTIES
#17341,#17388,HAS_PROPERTIES
#17341,#17390,HAS_PROPERTIES
#17409,#17419,HAS_PROPERTIES
#17409,#17421,HAS_PROPERTIES
#17409,#17423,HAS_PROPERTIES
