:START_ID,:END_ID,:TYPE
#69,#68,CONTAINS_QUANTITY
#214,#213,CONTAINS_QUANTITY
#357,#356,CONTAINS_QUANTITY
#516,#515,CONTAINS_QUANTITY
#821,#820,CONTAINS_QUANTITY
#1061,#1060,CONTAINS_QUANTITY
#1220,#1219,CONTAINS_QUANTITY
#1444,#1443,CONTAINS_QUANTITY
#1629,#1628,CONTAINS_QUANTITY
#1784,#1783,CONTAINS_QUANTITY
#1930,#1929,CONTAINS_QUANTITY
#2110,#2109,CONTAINS_QUANTITY
#2414,#2413,CONTAINS_QUANTITY
#2639,#2638,CONTAINS_QUANTITY
#2791,#2790,CONTAINS_QUANTITY
#3015,#3014,CONTAINS_QUANTITY
#3199,#3198,CONTAINS_QUANTITY
#3327,#3326,CONTAINS_QUANTITY
#3458,#3457,CONTAINS_QUANTITY
#3588,#3587,CONTAINS_QUANTITY
#3709,#3708,CONTAINS_QUANTITY
