:START_ID,:END_ID,:TYPE
#509,#506,HAS_SWEPT_AREA
#1213,#1210,HAS_SWEPT_AREA
#1437,#1434,HAS_SWEPT_AREA
#2103,#2100,HAS_SWEPT_AREA
#2784,#2781,HAS_SWEPT_AREA
#3008,#3005,HAS_SWEPT_AREA
#3451,#3448,HAS_SWEPT_AREA
#3581,#3578,HAS_SWEPT_AREA
#5157,#5154,HAS_SWEPT_AREA
#5262,#5259,HAS_SWEPT_AREA
#5443,#5441,HAS_SWEPT_AREA
#5493,#5491,HAS_SWEPT_AREA
#5543,#5541,HAS_SWEPT_AREA
#5593,#5591,HAS_SWEPT_AREA
#6127,#6124,HAS_SWEPT_AREA
#6242,#6239,HAS_SWEPT_AREA
#6584,#6581,HAS_SWEPT_AREA
#6603,#6600,HAS_SWEPT_AREA
#8004,#8001,HAS_SWEPT_AREA
#8020,#8017,HAS_SWEPT_AREA
#8221,#8218,HAS_SWEPT_AREA
#8237,#8234,HAS_SWEPT_AREA
#8457,#8454,HAS_SWEPT_AREA
#8488,#8485,HAS_SWEPT_AREA
#8516,#8513,HAS_SWEPT_AREA
#8544,#8541,HAS_SWEPT_AREA
#8572,#8569,HAS_SWEPT_AREA
#8600,#8597,HAS_SWEPT_AREA
#8628,#8625,HAS_SWEPT_AREA
#8656,#8653,HAS_SWEPT_AREA
#8684,#8681,HAS_SWEPT_AREA
#8712,#8709,HAS_SWEPT_AREA
#8740,#8737,HAS_SWEPT_AREA
#8768,#8765,HAS_SWEPT_AREA
#8796,#8793,HAS_SWEPT_AREA
#8824,#8821,HAS_SWEPT_AREA
#8852,#8849,HAS_SWEPT_AREA
#8996,#8993,HAS_SWEPT_AREA
#9014,#9011,HAS_SWEPT_AREA
#9539,#9536,HAS_SWEPT_AREA
#9779,#9773,HAS_SWEPT_AREA
#12255,#12252,HAS_SWEPT_AREA
#12661,#12658,HAS_SWEPT_AREA
#13015,#13012,HAS_SWEPT_AREA
#13370,#13367,HAS_SWEPT_AREA
#13724,#13721,HAS_SWEPT_AREA
#14079,#14076,HAS_SWEPT_AREA
#14433,#14430,HAS_SWEPT_AREA
#14788,#14785,HAS_SWEPT_AREA
#15900,#15897,HAS_SWEPT_AREA
#15916,#15913,HAS_SWEPT_AREA
#16204,#16201,HAS_SWEPT_AREA
#16302,#16299,HAS_SWEPT_AREA
#16748,#16745,HAS_SWEPT_AREA
#16843,#16840,HAS_SWEPT_AREA
#17450,#17447,HAS_SWEPT_AREA
#17466,#17463,HAS_SWEPT_AREA
#17640,#17637,HAS_SWEPT_AREA
#17656,#17653,HAS_SWEPT_AREA
#17960,#17957,HAS_SWEPT_AREA
#17996,#17993,HAS_SWEPT_AREA
#19373,#19370,HAS_SWEPT_AREA
#19406,#19403,HAS_SWEPT_AREA
#20787,#20784,HAS_SWEPT_AREA
#20898,#20895,HAS_SWEPT_AREA
#20953,#20950,HAS_SWEPT_AREA
#21008,#21005,HAS_SWEPT_AREA
#21075,#21072,HAS_SWEPT_AREA
#21142,#21139,HAS_SWEPT_AREA
#21396,#21393,HAS_SWEPT_AREA
#21605,#21602,HAS_SWEPT_AREA
#21720,#21717,HAS_SWEPT_AREA
#21736,#21733,HAS_SWEPT_AREA
#31553,#31550,HAS_SWEPT_AREA
#31581,#31578,HAS_SWEPT_AREA
#31609,#31606,HAS_SWEPT_AREA
#31637,#31634,HAS_SWEPT_AREA
#31665,#31662,HAS_SWEPT_AREA
#31693,#31690,HAS_SWEPT_AREA
#31721,#31718,HAS_SWEPT_AREA
#31749,#31746,HAS_SWEPT_AREA
#31777,#31774,HAS_SWEPT_AREA
#31805,#31802,HAS_SWEPT_AREA
#31833,#31830,HAS_SWEPT_AREA
#31861,#31858,HAS_SWEPT_AREA
#31889,#31886,HAS_SWEPT_AREA
#31917,#31914,HAS_SWEPT_AREA
#31945,#31942,HAS_SWEPT_AREA
#32090,#32086,HAS_SWEPT_AREA
#32109,#32105,HAS_SWEPT_AREA
#32518,#32515,HAS_SWEPT_AREA
#32758,#32752,HAS_SWEPT_AREA
#35256,#35253,HAS_SWEPT_AREA
#35272,#35269,HAS_SWEPT_AREA
#36678,#36675,HAS_SWEPT_AREA
#36887,#36884,HAS_SWEPT_AREA
#37060,#37057,HAS_SWEPT_AREA
#37190,#37187,HAS_SWEPT_AREA
#37320,#37317,HAS_SWEPT_AREA
#37451,#37448,HAS_SWEPT_AREA
#37581,#37578,HAS_SWEPT_AREA
#37711,#37708,HAS_SWEPT_AREA
