:START_ID,:END_ID,:TYPE
#12583,#12637,HAS_PROPERTIES
#12583,#12639,HAS_PROPERTIES
#12583,#12641,HAS_PROPERTIES
#12985,#12996,HAS_PROPERTIES
#12985,#12998,HAS_PROPERTIES
#12985,#13000,HAS_PROPERTIES
#13340,#13351,HAS_PROPERTIES
#13340,#13353,HAS_PROPERTIES
#13340,#13355,HAS_PROPERTIES
#13694,#13705,HAS_PROPERTIES
#13694,#13707,HAS_PROPERTIES
#13694,#13709,HAS_PROPERTIES
#14049,#14060,HAS_PROPERTIES
#14049,#14062,HAS_PROPERTIES
#14049,#14064,HAS_PROPERTIES
#14403,#14414,HAS_PROPERTIES
#14403,#14416,HAS_PROPERTIES
#14403,#14418,HAS_PROPERTIES
#14758,#14769,HAS_PROPERTIES
#14758,#14771,HAS_PROPERTIES
#14758,#14773,HAS_PROPERTIES
#15112,#15123,HAS_PROPERTIES
#15112,#15125,HAS_PROPERTIES
#15112,#15127,HAS_PROPERTIES
#16306,#16359,HAS_PROPERTIES
#16306,#16361,HAS_PROPERTIES
#16306,#16363,HAS_PROPERTIES
#16306,#16365,HAS_PROPERTIES
#16847,#16863,HAS_PROPERTIES
#16847,#16865,HAS_PROPERTIES
#16847,#16867,HAS_PROPERTIES
#16847,#16869,HAS_PROPERTIES
#22506,#22551,HAS_PROPERTIES
#22520,#22551,HAS_PROPERTIES
#22533,#22551,HAS_PROPERTIES
#22546,#22551,HAS_PROPERTIES
#22506,#22602,HAS_PROPERTIES
#22520,#22602,HAS_PROPERTIES
#22533,#22602,HAS_PROPERTIES
#22546,#22602,HAS_PROPERTIES
#22506,#22604,HAS_PROPERTIES
#22520,#22604,HAS_PROPERTIES
#22533,#22604,HAS_PROPERTIES
#22546,#22604,HAS_PROPERTIES
#22506,#22606,HAS_PROPERTIES
#22520,#22606,HAS_PROPERTIES
#22533,#22606,HAS_PROPERTIES
#22546,#22606,HAS_PROPERTIES
#22506,#22608,HAS_PROPERTIES
#22520,#22608,HAS_PROPERTIES
#22533,#22608,HAS_PROPERTIES
#22546,#22608,HAS_PROPERTIES
#22506,#22610,HAS_PROPERTIES
#22520,#22610,HAS_PROPERTIES
#22533,#22610,HAS_PROPERTIES
#22546,#22610,HAS_PROPERTIES
#22506,#22612,HAS_PROPERTIES
#22520,#22612,HAS_PROPERTIES
#22533,#22612,HAS_PROPERTIES
#22546,#22612,HAS_PROPERTIES
#22506,#22613,HAS_PROPERTIES
#22520,#22613,HAS_PROPERTIES
#22533,#22613,HAS_PROPERTIES
#22546,#22613,HAS_PROPERTIES
#22506,#22614,HAS_PROPERTIES
#22520,#22614,HAS_PROPERTIES
#22533,#22614,HAS_PROPERTIES
#22546,#22614,HAS_PROPERTIES
#22506,#22615,HAS_PROPERTIES
#22520,#22615,HAS_PROPERTIES
#22533,#22615,HAS_PROPERTIES
#22546,#22615,HAS_PROPERTIES
#16306,#16367,HAS_PROPERTIES
#16847,#16367,HAS_PROPERTIES
#16306,#16368,HAS_PROPERTIES
#16847,#16368,HAS_PROPERTIES
#16306,#16369,HAS_PROPERTIES
#16847,#16369,HAS_PROPERTIES
#16306,#16370,HAS_PROPERTIES
#16847,#16370,HAS_PROPERTIES
#16306,#16371,HAS_PROPERTIES
#16847,#16371,HAS_PROPERTIES
#12583,#12643,HAS_PROPERTIES
#12985,#12643,HAS_PROPERTIES
#13340,#12643,HAS_PROPERTIES
#13694,#12643,HAS_PROPERTIES
#14049,#12643,HAS_PROPERTIES
#14403,#12643,HAS_PROPERTIES
#14758,#12643,HAS_PROPERTIES
#15112,#12643,HAS_PROPERTIES
#12583,#12644,HAS_PROPERTIES
#12985,#12644,HAS_PROPERTIES
#13340,#12644,HAS_PROPERTIES
#13694,#12644,HAS_PROPERTIES
#14049,#12644,HAS_PROPERTIES
#14403,#12644,HAS_PROPERTIES
#14758,#12644,HAS_PROPERTIES
#15112,#12644,HAS_PROPERTIES
#12583,#12645,HAS_PROPERTIES
#12985,#12645,HAS_PROPERTIES
#13340,#12645,HAS_PROPERTIES
#13694,#12645,HAS_PROPERTIES
#14049,#12645,HAS_PROPERTIES
#14403,#12645,HAS_PROPERTIES
#14758,#12645,HAS_PROPERTIES
#15112,#12645,HAS_PROPERTIES
#12583,#12646,HAS_PROPERTIES
#12985,#12646,HAS_PROPERTIES
#13340,#12646,HAS_PROPERTIES
#13694,#12646,HAS_PROPERTIES
#14049,#12646,HAS_PROPERTIES
#14403,#12646,HAS_PROPERTIES
#14758,#12646,HAS_PROPERTIES
#15112,#12646,HAS_PROPERTIES
#12583,#12647,HAS_PROPERTIES
#12985,#12647,HAS_PROPERTIES
#13340,#12647,HAS_PROPERTIES
#13694,#12647,HAS_PROPERTIES
#14049,#12647,HAS_PROPERTIES
#14403,#12647,HAS_PROPERTIES
#14758,#12647,HAS_PROPERTIES
#15112,#12647,HAS_PROPERTIES
