:LABEL,id,ifc_type
IfcCartesianTransformationOperator3D,#6414,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6417,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6519,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6522,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6640,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6643,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6745,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6748,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6909,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#6912,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7013,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7016,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7178,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7181,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7395,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7398,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7627,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7630,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7731,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7734,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7783,IFCCARTESIANTRANSFORMATIONOPERATOR3D
IfcCartesianTransformationOperator3D,#7786,IFCCARTESIANTRANSFORMATIONOPERATOR3D
