:START_ID,:END_ID,:TYPE
#6320,#6317,HAS_SWEPT_AREA
#6341,#6338,HAS_SWEPT_AREA
#6359,#6356,HAS_SWEPT_AREA
#6818,#6815,HAS_SWEPT_AREA
#6836,#6833,HAS_SWEPT_AREA
#6854,#6851,HAS_SWEPT_AREA
#7087,#7084,HAS_SWEPT_AREA
#7105,#7102,HAS_SWEPT_AREA
#7123,#7120,HAS_SWEPT_AREA
#7304,#7301,HAS_SWEPT_AREA
#7322,#7319,HAS_SWEPT_AREA
#7340,#7337,HAS_SWEPT_AREA
#7521,#7518,HAS_SWEPT_AREA
#7539,#7536,HAS_SWEPT_AREA
#7560,#7557,HAS_SWEPT_AREA
#17494,#17491,HAS_SWEPT_AREA
#17681,#17678,HAS_SWEPT_AREA
#21761,#21758,HAS_SWEPT_AREA
