:START_ID,:END_ID,:TYPE
#12442,#12441,USES_LOOP
#12455,#12454,USES_LOOP
#12468,#12467,USES_LOOP
#12481,#12480,USES_LOOP
#12844,#12843,USES_LOOP
#12857,#12856,USES_LOOP
#12870,#12869,USES_LOOP
#12883,#12882,USES_LOOP
#13199,#13198,USES_LOOP
#13212,#13211,USES_LOOP
#13225,#13224,USES_LOOP
#13238,#13237,USES_LOOP
#13553,#13552,USES_LOOP
#13566,#13565,USES_LOOP
#13579,#13578,USES_LOOP
#13592,#13591,USES_LOOP
#13908,#13907,USES_LOOP
#13921,#13920,USES_LOOP
#13934,#13933,USES_LOOP
#13947,#13946,USES_LOOP
#14262,#14261,USES_LOOP
#14275,#14274,USES_LOOP
#14288,#14287,USES_LOOP
#14301,#14300,USES_LOOP
#14617,#14616,USES_LOOP
#14630,#14629,USES_LOOP
#14643,#14642,USES_LOOP
#14656,#14655,USES_LOOP
#14971,#14970,USES_LOOP
#14984,#14983,USES_LOOP
#14997,#14996,USES_LOOP
#15010,#15009,USES_LOOP
#24225,#24224,USES_LOOP
#24238,#24237,USES_LOOP
#24365,#24364,USES_LOOP
#24378,#24377,USES_LOOP
#26868,#26867,USES_LOOP
#26881,#26880,USES_LOOP
#29025,#29024,USES_LOOP
#29038,#29037,USES_LOOP
#31168,#31167,USES_LOOP
#31181,#31180,USES_LOOP
