:START_ID,:END_ID,:TYPE
#12443,#12442,HAS_BOUNDS
#12456,#12455,HAS_BOUNDS
#12469,#12468,HAS_BOUNDS
#12482,#12481,HAS_BOUNDS
#12845,#12844,HAS_BOUNDS
#12858,#12857,HAS_BOUNDS
#12871,#12870,HAS_BOUNDS
#12884,#12883,HAS_BOUNDS
#13200,#13199,HAS_BOUNDS
#13213,#13212,HAS_BOUNDS
#13226,#13225,HAS_BOUNDS
#13239,#13238,HAS_BOUNDS
#13554,#13553,HAS_BOUNDS
#13567,#13566,HAS_BOUNDS
#13580,#13579,HAS_BOUNDS
#13593,#13592,HAS_BOUNDS
#13909,#13908,HAS_BOUNDS
#13922,#13921,HAS_BOUNDS
#13935,#13934,HAS_BOUNDS
#13948,#13947,HAS_BOUNDS
#14263,#14262,HAS_BOUNDS
#14276,#14275,HAS_BOUNDS
#14289,#14288,HAS_BOUNDS
#14302,#14301,HAS_BOUNDS
#14618,#14617,HAS_BOUNDS
#14631,#14630,HAS_BOUNDS
#14644,#14643,HAS_BOUNDS
#14657,#14656,HAS_BOUNDS
#14972,#14971,HAS_BOUNDS
#14985,#14984,HAS_BOUNDS
#14998,#14997,HAS_BOUNDS
#15011,#15010,HAS_BOUNDS
#24226,#24225,HAS_BOUNDS
#24239,#24238,HAS_BOUNDS
#24366,#24365,HAS_BOUNDS
#24379,#24378,HAS_BOUNDS
#26869,#26868,HAS_BOUNDS
#26882,#26881,HAS_BOUNDS
#29026,#29025,HAS_BOUNDS
#29039,#29038,HAS_BOUNDS
#31169,#31168,HAS_BOUNDS
#31182,#31181,HAS_BOUNDS
