:START_ID,:END_ID,:TYPE
#5165,#5245,HAS_MATERIAL
#5267,#5299,HAS_MATERIAL
#6132,#6223,HAS_MATERIAL
#6247,#6279,HAS_MATERIAL
#20792,#20881,HAS_MATERIAL
#20903,#20936,HAS_MATERIAL
#20958,#20991,HAS_MATERIAL
#21013,#21046,HAS_MATERIAL
#21080,#21113,HAS_MATERIAL
#21147,#21180,HAS_MATERIAL
#21195,#21321,HAS_MATERIAL
#21336,#21369,HAS_MATERIAL
#21401,#21434,HAS_MATERIAL
#21449,#21482,HAS_MATERIAL
#21497,#21530,HAS_MATERIAL
#21545,#21578,HAS_MATERIAL
#21610,#21643,HAS_MATERIAL
#21658,#21691,HAS_MATERIAL
#37777,#37849,HAS_MATERIAL
#37864,#37897,HAS_MATERIAL
