:LABEL,id,ifc_type
IfcCircle,#6619,IFCCIRCLE
IfcCircle,#8033,IFCCIRCLE
IfcCircle,#8250,IFCCIRCLE
IfcCircle,#8434,IFCCIRCLE
IfcCircle,#8465,IFCCIRCLE
IfcCircle,#8493,IFCCIRCLE
IfcCircle,#8521,IFCCIRCLE
IfcCircle,#8549,IFCCIRCLE
IfcCircle,#8577,IFCCIRCLE
IfcCircle,#8605,IFCCIRCLE
IfcCircle,#8633,IFCCIRCLE
IfcCircle,#8661,IFCCIRCLE
IfcCircle,#8689,IFCCIRCLE
IfcCircle,#8717,IFCCIRCLE
IfcCircle,#8745,IFCCIRCLE
IfcCircle,#8773,IFCCIRCLE
IfcCircle,#8801,IFCCIRCLE
IfcCircle,#8829,IFCCIRCLE
IfcCircle,#15929,IFCCIRCLE
IfcCircle,#16213,IFCCIRCLE
IfcCircle,#16217,IFCCIRCLE
IfcCircle,#16221,IFCCIRCLE
IfcCircle,#16225,IFCCIRCLE
IfcCircle,#16268,IFCCIRCLE
IfcCircle,#16277,IFCCIRCLE
IfcCircle,#16286,IFCCIRCLE
IfcCircle,#16295,IFCCIRCLE
IfcCircle,#16754,IFCCIRCLE
IfcCircle,#16758,IFCCIRCLE
IfcCircle,#16762,IFCCIRCLE
IfcCircle,#16766,IFCCIRCLE
IfcCircle,#16809,IFCCIRCLE
IfcCircle,#16818,IFCCIRCLE
IfcCircle,#16827,IFCCIRCLE
IfcCircle,#16836,IFCCIRCLE
IfcCircle,#17922,IFCCIRCLE
IfcCircle,#17931,IFCCIRCLE
IfcCircle,#17940,IFCCIRCLE
IfcCircle,#17949,IFCCIRCLE
IfcCircle,#17976,IFCCIRCLE
IfcCircle,#17985,IFCCIRCLE
IfcCircle,#19335,IFCCIRCLE
IfcCircle,#19344,IFCCIRCLE
IfcCircle,#19353,IFCCIRCLE
IfcCircle,#19362,IFCCIRCLE
IfcCircle,#19386,IFCCIRCLE
IfcCircle,#19395,IFCCIRCLE
IfcCircle,#21788,IFCCIRCLE
IfcCircle,#31542,IFCCIRCLE
IfcCircle,#31570,IFCCIRCLE
IfcCircle,#31598,IFCCIRCLE
IfcCircle,#31626,IFCCIRCLE
IfcCircle,#31654,IFCCIRCLE
IfcCircle,#31682,IFCCIRCLE
IfcCircle,#31710,IFCCIRCLE
IfcCircle,#31738,IFCCIRCLE
IfcCircle,#31766,IFCCIRCLE
IfcCircle,#31794,IFCCIRCLE
IfcCircle,#31822,IFCCIRCLE
IfcCircle,#31850,IFCCIRCLE
IfcCircle,#31878,IFCCIRCLE
IfcCircle,#31906,IFCCIRCLE
IfcCircle,#31934,IFCCIRCLE
IfcCircle,#35285,IFCCIRCLE
IfcCircle,#36624,IFCCIRCLE
IfcCircle,#36633,IFCCIRCLE
IfcCircle,#36658,IFCCIRCLE
IfcCircle,#36667,IFCCIRCLE
IfcCircle,#36833,IFCCIRCLE
IfcCircle,#36842,IFCCIRCLE
IfcCircle,#36867,IFCCIRCLE
IfcCircle,#36876,IFCCIRCLE
IfcCircle,#37006,IFCCIRCLE
IfcCircle,#37015,IFCCIRCLE
IfcCircle,#37040,IFCCIRCLE
IfcCircle,#37049,IFCCIRCLE
IfcCircle,#37136,IFCCIRCLE
IfcCircle,#37145,IFCCIRCLE
IfcCircle,#37170,IFCCIRCLE
IfcCircle,#37179,IFCCIRCLE
IfcCircle,#37266,IFCCIRCLE
IfcCircle,#37275,IFCCIRCLE
IfcCircle,#37300,IFCCIRCLE
IfcCircle,#37309,IFCCIRCLE
IfcCircle,#37397,IFCCIRCLE
IfcCircle,#37406,IFCCIRCLE
IfcCircle,#37431,IFCCIRCLE
IfcCircle,#37440,IFCCIRCLE
IfcCircle,#37527,IFCCIRCLE
IfcCircle,#37536,IFCCIRCLE
IfcCircle,#37561,IFCCIRCLE
IfcCircle,#37570,IFCCIRCLE
IfcCircle,#37657,IFCCIRCLE
IfcCircle,#37666,IFCCIRCLE
IfcCircle,#37691,IFCCIRCLE
IfcCircle,#37700,IFCCIRCLE
