:START_ID,:END_ID,:TYPE
#212,#23992,HAS_BOUNDARY
#355,#23884,HAS_BOUNDARY
#514,#23992,HAS_BOUNDARY
#819,#24268,HAS_BOUNDARY
#1059,#24186,HAS_BOUNDARY
#1218,#24544,HAS_BOUNDARY
#1442,#24128,HAS_BOUNDARY
#1627,#23671,HAS_BOUNDARY
#1782,#23671,HAS_BOUNDARY
#1928,#23671,HAS_BOUNDARY
#1928,#23768,HAS_BOUNDARY
#1928,#23826,HAS_BOUNDARY
#2108,#23671,HAS_BOUNDARY
#2412,#24408,HAS_BOUNDARY
#2637,#24326,HAS_BOUNDARY
#2789,#24060,HAS_BOUNDARY
#3013,#24476,HAS_BOUNDARY
#3197,#24186,HAS_BOUNDARY
#3325,#24326,HAS_BOUNDARY
#3456,#24268,HAS_BOUNDARY
#3456,#23992,HAS_BOUNDARY
#3586,#24408,HAS_BOUNDARY
#3586,#23671,HAS_BOUNDARY
