:START_ID,:END_ID,:TYPE
#67,#21929,HAS_BOUNDARY
#355,#8066,HAS_BOUNDARY
#514,#6652,HAS_BOUNDARY
#514,#8066,HAS_BOUNDARY
#819,#16013,HAS_BOUNDARY
#819,#35413,HAS_BOUNDARY
#819,#16115,HAS_BOUNDARY
#819,#35413,HAS_BOUNDARY
#819,#8386,HAS_BOUNDARY
#1059,#16115,HAS_BOUNDARY
#1059,#35413,HAS_BOUNDARY
#1059,#35413,HAS_BOUNDARY
#1218,#8386,HAS_BOUNDARY
#1218,#8386,HAS_BOUNDARY
#1442,#16013,HAS_BOUNDARY
#1627,#21821,HAS_BOUNDARY
#1928,#8169,HAS_BOUNDARY
#2108,#6757,HAS_BOUNDARY
#2108,#8169,HAS_BOUNDARY
#2412,#15962,HAS_BOUNDARY
#2412,#16064,HAS_BOUNDARY
#2412,#8283,HAS_BOUNDARY
#2637,#16064,HAS_BOUNDARY
#2637,#35318,HAS_BOUNDARY
#2789,#8283,HAS_BOUNDARY
#2789,#8283,HAS_BOUNDARY
#3013,#15962,HAS_BOUNDARY
#3197,#35413,HAS_BOUNDARY
#3197,#35413,HAS_BOUNDARY
#3325,#35318,HAS_BOUNDARY
