:START_ID,:END_ID,:TYPE
#67,#17786,CONTAINS
#67,#17815,CONTAINS
#67,#17844,CONTAINS
#67,#17873,CONTAINS
#67,#17902,CONTAINS
#212,#16641,CONTAINS
#212,#16667,CONTAINS
#212,#16693,CONTAINS
#212,#16719,CONTAINS
#212,#16802,CONTAINS
#212,#16884,CONTAINS
#212,#16914,CONTAINS
#212,#16940,CONTAINS
#212,#16971,CONTAINS
#212,#16997,CONTAINS
#212,#17023,CONTAINS
#212,#26941,CONTAINS
#212,#29098,CONTAINS
#212,#29127,CONTAINS
#212,#31241,CONTAINS
#355,#36423,CONTAINS
#1059,#36125,CONTAINS
#1059,#36151,CONTAINS
#1218,#13331,CONTAINS
#1218,#13685,CONTAINS
#1218,#20755,CONTAINS
#1218,#36584,CONTAINS
#1442,#14040,CONTAINS
#1442,#14394,CONTAINS
#1442,#20657,CONTAINS
#1442,#36526,CONTAINS
#1627,#17341,CONTAINS
#1627,#17409,CONTAINS
#1627,#17532,CONTAINS
#1627,#17602,CONTAINS
#1627,#17716,CONTAINS
#1782,#15463,CONTAINS
#1782,#15856,CONTAINS
#1782,#16149,CONTAINS
#1782,#16175,CONTAINS
#1782,#16261,CONTAINS
#1782,#16411,CONTAINS
#1782,#16485,CONTAINS
#1782,#16531,CONTAINS
#1782,#16563,CONTAINS
#1782,#16589,CONTAINS
#1782,#16615,CONTAINS
#1782,#31313,CONTAINS
#1782,#31342,CONTAINS
#1782,#31371,CONTAINS
#1782,#31400,CONTAINS
#2637,#35783,CONTAINS
#2637,#35854,CONTAINS
#2789,#14749,CONTAINS
#2789,#15103,CONTAINS
#2789,#19275,CONTAINS
#2789,#36497,CONTAINS
#3013,#12574,CONTAINS
#3013,#12976,CONTAINS
#3013,#20726,CONTAINS
#3013,#36555,CONTAINS
