:START_ID,:END_ID,:TYPE
#67,#4043,HAS_BOUNDARY
#67,#4598,HAS_BOUNDARY
#67,#4087,HAS_BOUNDARY
#212,#4087,HAS_BOUNDARY
#212,#4508,HAS_BOUNDARY
#212,#4553,HAS_BOUNDARY
#212,#24813,HAS_BOUNDARY
#355,#4287,HAS_BOUNDARY
#355,#24768,HAS_BOUNDARY
#355,#24768,HAS_BOUNDARY
#355,#4553,HAS_BOUNDARY
#355,#4508,HAS_BOUNDARY
#514,#3999,HAS_BOUNDARY
#514,#4287,HAS_BOUNDARY
#514,#4508,HAS_BOUNDARY
#514,#4508,HAS_BOUNDARY
#514,#4598,HAS_BOUNDARY
#514,#4043,HAS_BOUNDARY
#819,#5498,HAS_BOUNDARY
#819,#5992,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#5948,HAS_BOUNDARY
#819,#5903,HAS_BOUNDARY
#1059,#5948,HAS_BOUNDARY
#1059,#35357,HAS_BOUNDARY
#1059,#31431,HAS_BOUNDARY
#1059,#6080,HAS_BOUNDARY
#1218,#5548,HAS_BOUNDARY
#1218,#5498,HAS_BOUNDARY
#1218,#5903,HAS_BOUNDARY
#1218,#5903,HAS_BOUNDARY
#1218,#5948,HAS_BOUNDARY
#1218,#6080,HAS_BOUNDARY
#1218,#6080,HAS_BOUNDARY
#1442,#6036,HAS_BOUNDARY
#1442,#6036,HAS_BOUNDARY
#1442,#5948,HAS_BOUNDARY
#1442,#5992,HAS_BOUNDARY
#1442,#5498,HAS_BOUNDARY
#1442,#5448,HAS_BOUNDARY
#1627,#3797,HAS_BOUNDARY
#1627,#4131,HAS_BOUNDARY
#1627,#3999,HAS_BOUNDARY
#1782,#3999,HAS_BOUNDARY
#1782,#4219,HAS_BOUNDARY
#1782,#24723,HAS_BOUNDARY
#1782,#24596,HAS_BOUNDARY
#1928,#4219,HAS_BOUNDARY
#1928,#4399,HAS_BOUNDARY
#1928,#24680,HAS_BOUNDARY
#1928,#24680,HAS_BOUNDARY
#1928,#24723,HAS_BOUNDARY
#2108,#3797,HAS_BOUNDARY
#2108,#4087,HAS_BOUNDARY
#2108,#4399,HAS_BOUNDARY
#2108,#4219,HAS_BOUNDARY
#2108,#4219,HAS_BOUNDARY
#2108,#4131,HAS_BOUNDARY
#2412,#5598,HAS_BOUNDARY
#2412,#5731,HAS_BOUNDARY
#2412,#5687,HAS_BOUNDARY
#2412,#5687,HAS_BOUNDARY
#2412,#5687,HAS_BOUNDARY
#2412,#5687,HAS_BOUNDARY
#2412,#5642,HAS_BOUNDARY
#2637,#5687,HAS_BOUNDARY
#2637,#35199,HAS_BOUNDARY
#2637,#31476,HAS_BOUNDARY
#2637,#5775,HAS_BOUNDARY
#2789,#5448,HAS_BOUNDARY
#2789,#5598,HAS_BOUNDARY
#2789,#5642,HAS_BOUNDARY
#2789,#5642,HAS_BOUNDARY
#2789,#5687,HAS_BOUNDARY
#2789,#5775,HAS_BOUNDARY
#2789,#5775,HAS_BOUNDARY
#3013,#5859,HAS_BOUNDARY
#3013,#5859,HAS_BOUNDARY
#3013,#5687,HAS_BOUNDARY
#3013,#5731,HAS_BOUNDARY
#3013,#5598,HAS_BOUNDARY
#3013,#5548,HAS_BOUNDARY
#3197,#5948,HAS_BOUNDARY
#3197,#6036,HAS_BOUNDARY
#3197,#31431,HAS_BOUNDARY
#3197,#35357,HAS_BOUNDARY
#3325,#5687,HAS_BOUNDARY
#3325,#5859,HAS_BOUNDARY
#3325,#31476,HAS_BOUNDARY
#3325,#35199,HAS_BOUNDARY
#3456,#3999,HAS_BOUNDARY
#3456,#4287,HAS_BOUNDARY
#3586,#4087,HAS_BOUNDARY
#3586,#4399,HAS_BOUNDARY
#3707,#22663,HAS_BOUNDARY
#3707,#22798,HAS_BOUNDARY
#3707,#22753,HAS_BOUNDARY
#3707,#22708,HAS_BOUNDARY
