:START_ID,:END_ID,:TYPE
#67,#6531,HAS_BOUNDARY
#67,#7025,HAS_BOUNDARY
#212,#7025,HAS_BOUNDARY
#1218,#7847,HAS_BOUNDARY
#1218,#7795,HAS_BOUNDARY
#1218,#22396,HAS_BOUNDARY
#1218,#7847,HAS_BOUNDARY
#1442,#22188,HAS_BOUNDARY
#1442,#22344,HAS_BOUNDARY
#1442,#22188,HAS_BOUNDARY
#1627,#6426,HAS_BOUNDARY
#1627,#6921,HAS_BOUNDARY
#1782,#6921,HAS_BOUNDARY
#2789,#7407,HAS_BOUNDARY
#2789,#7190,HAS_BOUNDARY
#2789,#22448,HAS_BOUNDARY
#2789,#7407,HAS_BOUNDARY
#3013,#21980,HAS_BOUNDARY
#3013,#22084,HAS_BOUNDARY
#3013,#21980,HAS_BOUNDARY
