:START_ID,:END_ID,:TYPE
#9326,#9329,HAS_PROPERTIES
#9326,#9377,HAS_PROPERTIES
#9326,#9379,HAS_PROPERTIES
#9326,#9381,HAS_PROPERTIES
#9326,#9383,HAS_PROPERTIES
#12184,#12187,HAS_PROPERTIES
#12184,#12231,HAS_PROPERTIES
#12184,#12233,HAS_PROPERTIES
#12184,#12235,HAS_PROPERTIES
#12184,#12237,HAS_PROPERTIES
#32346,#32349,HAS_PROPERTIES
#32346,#32359,HAS_PROPERTIES
#32346,#32361,HAS_PROPERTIES
#32346,#32363,HAS_PROPERTIES
#32346,#32365,HAS_PROPERTIES
#35163,#35166,HAS_PROPERTIES
#35163,#35176,HAS_PROPERTIES
#35163,#35178,HAS_PROPERTIES
#35163,#35180,HAS_PROPERTIES
#35163,#35182,HAS_PROPERTIES
#12184,#12239,HAS_PROPERTIES
#35163,#12239,HAS_PROPERTIES
#12184,#12240,HAS_PROPERTIES
#35163,#12240,HAS_PROPERTIES
#12184,#12241,HAS_PROPERTIES
#35163,#12241,HAS_PROPERTIES
#9326,#9385,HAS_PROPERTIES
#32346,#9385,HAS_PROPERTIES
#9326,#9386,HAS_PROPERTIES
#32346,#9386,HAS_PROPERTIES
#9326,#9387,HAS_PROPERTIES
#32346,#9387,HAS_PROPERTIES
