:START_ID,:END_ID,:TYPE
#3797,#3983,HAS_MATERIAL
#3999,#4027,HAS_MATERIAL
#4043,#4071,HAS_MATERIAL
#4087,#4115,HAS_MATERIAL
#4131,#4203,HAS_MATERIAL
#4219,#4248,HAS_MATERIAL
#4287,#4361,HAS_MATERIAL
#4399,#4427,HAS_MATERIAL
#4465,#4492,HAS_MATERIAL
#4508,#4537,HAS_MATERIAL
#4553,#4582,HAS_MATERIAL
#4598,#4627,HAS_MATERIAL
#4643,#4802,HAS_MATERIAL
#4818,#4852,HAS_MATERIAL
#4868,#4902,HAS_MATERIAL
#4918,#4952,HAS_MATERIAL
#4968,#5041,HAS_MATERIAL
#5057,#5090,HAS_MATERIAL
#5106,#5140,HAS_MATERIAL
#5448,#5476,HAS_MATERIAL
#5498,#5526,HAS_MATERIAL
#5548,#5576,HAS_MATERIAL
#5598,#5626,HAS_MATERIAL
#5642,#5671,HAS_MATERIAL
#5687,#5715,HAS_MATERIAL
#5731,#5759,HAS_MATERIAL
#5775,#5843,HAS_MATERIAL
#5859,#5887,HAS_MATERIAL
#5903,#5932,HAS_MATERIAL
#5948,#5976,HAS_MATERIAL
#5992,#6020,HAS_MATERIAL
#6036,#6064,HAS_MATERIAL
#6080,#6108,HAS_MATERIAL
#22663,#22692,HAS_MATERIAL
#22708,#22737,HAS_MATERIAL
#22753,#22782,HAS_MATERIAL
#22798,#22827,HAS_MATERIAL
#24596,#24664,HAS_MATERIAL
#24680,#24707,HAS_MATERIAL
#24723,#24752,HAS_MATERIAL
#24768,#24797,HAS_MATERIAL
#24813,#24842,HAS_MATERIAL
#31431,#31460,HAS_MATERIAL
#31476,#31505,HAS_MATERIAL
#35199,#35227,HAS_MATERIAL
#35357,#35385,HAS_MATERIAL
#35452,#35481,HAS_MATERIAL
#35497,#35526,HAS_MATERIAL
#37913,#37954,HAS_MATERIAL
#37970,#37999,HAS_MATERIAL
#38015,#38044,HAS_MATERIAL
#38060,#38089,HAS_MATERIAL
#38105,#38134,HAS_MATERIAL
#38150,#38179,HAS_MATERIAL
#38195,#38224,HAS_MATERIAL
#38240,#38269,HAS_MATERIAL
