:START_ID,:END_ID,:TYPE
#3797,#6293,HAS_OPENING
#4043,#6517,HAS_OPENING
#3999,#6569,HAS_OPENING
#4087,#6743,HAS_OPENING
#3999,#6794,HAS_OPENING
#4087,#7011,HAS_OPENING
#5448,#7063,HAS_OPENING
#5448,#7280,HAS_OPENING
#5448,#7497,HAS_OPENING
#5448,#7729,HAS_OPENING
#5548,#7781,HAS_OPENING
#5548,#7833,HAS_OPENING
#5548,#7885,HAS_OPENING
#5548,#7937,HAS_OPENING
#4508,#7989,HAS_OPENING
#4219,#8155,HAS_OPENING
#5642,#8206,HAS_OPENING
#5903,#8372,HAS_OPENING
#5731,#15885,HAS_OPENING
#5992,#15999,HAS_OPENING
#5687,#16050,HAS_OPENING
#5948,#16101,HAS_OPENING
#3797,#21705,HAS_OPENING
#4043,#21915,HAS_OPENING
#5598,#21966,HAS_OPENING
#5598,#22018,HAS_OPENING
#5598,#22070,HAS_OPENING
#5598,#22122,HAS_OPENING
#5498,#22174,HAS_OPENING
#5498,#22226,HAS_OPENING
#5498,#22278,HAS_OPENING
#5498,#22330,HAS_OPENING
#5498,#22382,HAS_OPENING
#5598,#22434,HAS_OPENING
#35199,#35241,HAS_OPENING
#35357,#35399,HAS_OPENING
