:START_ID,:END_ID,:TYPE
#65,#59,HAS_ITEM
#210,#207,HAS_ITEM
#353,#350,HAS_ITEM
#512,#509,HAS_ITEM
#1057,#1054,HAS_ITEM
#1216,#1213,HAS_ITEM
#1440,#1437,HAS_ITEM
#1625,#1622,HAS_ITEM
#1780,#1777,HAS_ITEM
#1926,#1923,HAS_ITEM
#2106,#2103,HAS_ITEM
#2635,#2632,HAS_ITEM
#2787,#2784,HAS_ITEM
#3011,#3008,HAS_ITEM
#3195,#3192,HAS_ITEM
#3323,#3320,HAS_ITEM
#3454,#3451,HAS_ITEM
#3584,#3581,HAS_ITEM
#3705,#3702,HAS_ITEM
#3795,#3789,HAS_ITEM
#3997,#3994,HAS_ITEM
#4041,#4038,HAS_ITEM
#4085,#4082,HAS_ITEM
#4129,#4126,HAS_ITEM
#4217,#4214,HAS_ITEM
#4506,#4503,HAS_ITEM
#4551,#4548,HAS_ITEM
#4596,#4593,HAS_ITEM
#4641,#4638,HAS_ITEM
#4816,#4813,HAS_ITEM
#4866,#4863,HAS_ITEM
#4916,#4913,HAS_ITEM
#4966,#4963,HAS_ITEM
#5055,#5052,HAS_ITEM
#5104,#5101,HAS_ITEM
#5163,#5157,HAS_ITEM
#5265,#5262,HAS_ITEM
#5446,#5443,HAS_ITEM
#5496,#5493,HAS_ITEM
#5546,#5543,HAS_ITEM
#5596,#5593,HAS_ITEM
#5640,#5637,HAS_ITEM
#5685,#5682,HAS_ITEM
#5729,#5726,HAS_ITEM
#5773,#5770,HAS_ITEM
#5857,#5854,HAS_ITEM
#5901,#5898,HAS_ITEM
#5946,#5943,HAS_ITEM
#5990,#5987,HAS_ITEM
#6034,#6031,HAS_ITEM
#6078,#6075,HAS_ITEM
#6130,#6127,HAS_ITEM
#6245,#6242,HAS_ITEM
#6288,#6287,HAS_ITEM
#6362,#6299,HAS_ITEM
#6362,#6320,HAS_ITEM
#6362,#6341,HAS_ITEM
#6362,#6359,HAS_ITEM
#6512,#6511,HAS_ITEM
#6564,#6563,HAS_ITEM
#6616,#6584,HAS_ITEM
#6616,#6603,HAS_ITEM
#6616,#6610,HAS_ITEM
#6738,#6737,HAS_ITEM
#6789,#6788,HAS_ITEM
#6857,#6800,HAS_ITEM
#6857,#6818,HAS_ITEM
#6857,#6836,HAS_ITEM
#6857,#6854,HAS_ITEM
#7006,#7005,HAS_ITEM
#7058,#7057,HAS_ITEM
#7126,#7069,HAS_ITEM
#7126,#7087,HAS_ITEM
#7126,#7105,HAS_ITEM
#7126,#7123,HAS_ITEM
#7275,#7274,HAS_ITEM
#7343,#7286,HAS_ITEM
#7343,#7304,HAS_ITEM
#7343,#7322,HAS_ITEM
#7343,#7340,HAS_ITEM
#7492,#7491,HAS_ITEM
#7563,#7503,HAS_ITEM
#7563,#7521,HAS_ITEM
#7563,#7539,HAS_ITEM
#7563,#7560,HAS_ITEM
#7724,#7723,HAS_ITEM
#7776,#7775,HAS_ITEM
#7828,#7827,HAS_ITEM
#7880,#7879,HAS_ITEM
#7932,#7931,HAS_ITEM
#7984,#7983,HAS_ITEM
#8030,#8004,HAS_ITEM
#8030,#8020,HAS_ITEM
#8030,#8027,HAS_ITEM
#8150,#8149,HAS_ITEM
#8201,#8200,HAS_ITEM
#8247,#8221,HAS_ITEM
#8247,#8237,HAS_ITEM
#8247,#8244,HAS_ITEM
#8367,#8366,HAS_ITEM
#8967,#8457,HAS_ITEM
#8967,#8488,HAS_ITEM
#8967,#8516,HAS_ITEM
#8967,#8544,HAS_ITEM
#8967,#8572,HAS_ITEM
#8967,#8600,HAS_ITEM
#8967,#8628,HAS_ITEM
#8967,#8656,HAS_ITEM
#8967,#8684,HAS_ITEM
#8967,#8712,HAS_ITEM
#8967,#8740,HAS_ITEM
#8967,#8768,HAS_ITEM
#8967,#8796,HAS_ITEM
#8967,#8824,HAS_ITEM
#8967,#8852,HAS_ITEM
#8967,#8859,HAS_ITEM
#8967,#8866,HAS_ITEM
#8967,#8873,HAS_ITEM
#8967,#8880,HAS_ITEM
#8967,#8887,HAS_ITEM
#8967,#8894,HAS_ITEM
#8967,#8901,HAS_ITEM
#8967,#8908,HAS_ITEM
#8967,#8915,HAS_ITEM
#8967,#8922,HAS_ITEM
#8967,#8929,HAS_ITEM
#8967,#8936,HAS_ITEM
#8967,#8943,HAS_ITEM
#8967,#8950,HAS_ITEM
#8967,#8957,HAS_ITEM
#8967,#8964,HAS_ITEM
#8999,#8996,HAS_ITEM
#9017,#9014,HAS_ITEM
#12580,#12579,HAS_ITEM
#12982,#12981,HAS_ITEM
#13337,#13336,HAS_ITEM
#13691,#13690,HAS_ITEM
#14046,#14045,HAS_ITEM
#14400,#14399,HAS_ITEM
#14755,#14754,HAS_ITEM
#15109,#15108,HAS_ITEM
#15880,#15879,HAS_ITEM
#15926,#15900,HAS_ITEM
#15926,#15916,HAS_ITEM
#15926,#15923,HAS_ITEM
#15994,#15993,HAS_ITEM
#16045,#16044,HAS_ITEM
#16096,#16095,HAS_ITEM
#16210,#16204,HAS_ITEM
#16303,#16302,HAS_ITEM
#16388,#16378,HAS_ITEM
#16388,#16385,HAS_ITEM
#16517,#16507,HAS_ITEM
#16517,#16514,HAS_ITEM
#16751,#16748,HAS_ITEM
#16844,#16843,HAS_ITEM
#17500,#17431,HAS_ITEM
#17500,#17450,HAS_ITEM
#17500,#17466,HAS_ITEM
#17500,#17473,HAS_ITEM
#17500,#17494,HAS_ITEM
#17684,#17624,HAS_ITEM
#17684,#17640,HAS_ITEM
#17684,#17656,HAS_ITEM
#17684,#17663,HAS_ITEM
#17684,#17681,HAS_ITEM
#20790,#20787,HAS_ITEM
#20901,#20898,HAS_ITEM
#20956,#20953,HAS_ITEM
#21011,#21008,HAS_ITEM
#21078,#21075,HAS_ITEM
#21145,#21142,HAS_ITEM
#21193,#21190,HAS_ITEM
#21334,#21331,HAS_ITEM
#21399,#21396,HAS_ITEM
#21447,#21444,HAS_ITEM
#21495,#21492,HAS_ITEM
#21543,#21540,HAS_ITEM
#21608,#21605,HAS_ITEM
#21656,#21653,HAS_ITEM
#21700,#21699,HAS_ITEM
#21764,#21720,HAS_ITEM
#21764,#21736,HAS_ITEM
#21764,#21743,HAS_ITEM
#21764,#21761,HAS_ITEM
#21910,#21909,HAS_ITEM
#21961,#21960,HAS_ITEM
#22013,#22012,HAS_ITEM
#22065,#22064,HAS_ITEM
#22117,#22116,HAS_ITEM
#22169,#22168,HAS_ITEM
#22221,#22220,HAS_ITEM
#22273,#22272,HAS_ITEM
#22325,#22324,HAS_ITEM
#22377,#22376,HAS_ITEM
#22429,#22428,HAS_ITEM
#22489,#22483,HAS_ITEM
#22502,#22499,HAS_ITEM
#22516,#22513,HAS_ITEM
#22528,#22525,HAS_ITEM
#22541,#22538,HAS_ITEM
#22661,#22658,HAS_ITEM
#22706,#22703,HAS_ITEM
#22751,#22748,HAS_ITEM
#22796,#22793,HAS_ITEM
#23284,#23281,HAS_ITEM
#23367,#23364,HAS_ITEM
#23406,#23403,HAS_ITEM
#23444,#23441,HAS_ITEM
#23483,#23480,HAS_ITEM
#23522,#23519,HAS_ITEM
#23560,#23557,HAS_ITEM
#24678,#24675,HAS_ITEM
#24721,#24718,HAS_ITEM
#24766,#24763,HAS_ITEM
#24811,#24808,HAS_ITEM
#31429,#31426,HAS_ITEM
#31474,#31471,HAS_ITEM
#32060,#31553,HAS_ITEM
#32060,#31581,HAS_ITEM
#32060,#31609,HAS_ITEM
#32060,#31637,HAS_ITEM
#32060,#31665,HAS_ITEM
#32060,#31693,HAS_ITEM
#32060,#31721,HAS_ITEM
#32060,#31749,HAS_ITEM
#32060,#31777,HAS_ITEM
