:START_ID,:END_ID,:TYPE
#817,#816,HAS_ITEM
#2410,#2409,HAS_ITEM
#5397,#5396,HAS_ITEM
#9324,#9323,HAS_ITEM
#12182,#12181,HAS_ITEM
#12560,#12559,HAS_ITEM
#12962,#12961,HAS_ITEM
#13317,#13316,HAS_ITEM
#13671,#13670,HAS_ITEM
#14026,#14025,HAS_ITEM
#14380,#14379,HAS_ITEM
#14735,#14734,HAS_ITEM
#15089,#15088,HAS_ITEM
#15449,#15448,HAS_ITEM
#15842,#15841,HAS_ITEM
#17279,#17278,HAS_ITEM
#19228,#19227,HAS_ITEM
#20610,#20609,HAS_ITEM
#23117,#23116,HAS_ITEM
#23669,#23668,HAS_ITEM
#23766,#23765,HAS_ITEM
#23824,#23823,HAS_ITEM
#23882,#23881,HAS_ITEM
#23990,#23989,HAS_ITEM
#24058,#24057,HAS_ITEM
#24126,#24125,HAS_ITEM
#24184,#24183,HAS_ITEM
#24266,#24265,HAS_ITEM
#24324,#24323,HAS_ITEM
#24406,#24405,HAS_ITEM
#24474,#24473,HAS_ITEM
#24542,#24541,HAS_ITEM
#26909,#26908,HAS_ITEM
#29066,#29065,HAS_ITEM
#31209,#31208,HAS_ITEM
#32344,#32343,HAS_ITEM
#35161,#35160,HAS_ITEM
#35769,#35768,HAS_ITEM
#36111,#36110,HAS_ITEM
#36409,#36408,HAS_ITEM
