:START_ID,:END_ID,:TYPE
#6408,#6407,HAS_ITEM
#6634,#6633,HAS_ITEM
#6903,#6902,HAS_ITEM
#7172,#7171,HAS_ITEM
#7389,#7388,HAS_ITEM
#7621,#7620,HAS_ITEM
#8048,#8047,HAS_ITEM
#8265,#8264,HAS_ITEM
#8427,#8426,HAS_ITEM
#15944,#15943,HAS_ITEM
#16243,#16242,HAS_ITEM
#16393,#16392,HAS_ITEM
#16784,#16783,HAS_ITEM
#17323,#17322,HAS_ITEM
#17514,#17513,HAS_ITEM
#17698,#17697,HAS_ITEM
#19257,#19256,HAS_ITEM
#20639,#20638,HAS_ITEM
#21803,#21802,HAS_ITEM
#23143,#23142,HAS_ITEM
#26923,#26922,HAS_ITEM
#29080,#29079,HAS_ITEM
#31223,#31222,HAS_ITEM
#31523,#31522,HAS_ITEM
#35300,#35299,HAS_ITEM
