:START_ID,:END_ID,:TYPE
#6426,#6429,HAS_PROPERTIES
#6426,#6490,HAS_PROPERTIES
#6426,#6492,HAS_PROPERTIES
#6426,#6494,HAS_PROPERTIES
#6426,#6496,HAS_PROPERTIES
#6531,#6534,HAS_PROPERTIES
#6531,#6547,HAS_PROPERTIES
#6531,#6549,HAS_PROPERTIES
#6531,#6551,HAS_PROPERTIES
#6531,#6553,HAS_PROPERTIES
#6921,#6924,HAS_PROPERTIES
#6921,#6984,HAS_PROPERTIES
#6921,#6986,HAS_PROPERTIES
#6921,#6988,HAS_PROPERTIES
#6921,#6990,HAS_PROPERTIES
#7025,#7028,HAS_PROPERTIES
#7025,#7041,HAS_PROPERTIES
#7025,#7043,HAS_PROPERTIES
#7025,#7045,HAS_PROPERTIES
#7025,#7047,HAS_PROPERTIES
#7190,#7193,HAS_PROPERTIES
#7190,#7253,HAS_PROPERTIES
#7190,#7255,HAS_PROPERTIES
#7190,#7257,HAS_PROPERTIES
#7190,#7259,HAS_PROPERTIES
#7407,#7410,HAS_PROPERTIES
#7407,#7470,HAS_PROPERTIES
#7407,#7472,HAS_PROPERTIES
#7407,#7474,HAS_PROPERTIES
#7407,#7476,HAS_PROPERTIES
#7639,#7642,HAS_PROPERTIES
#7639,#7702,HAS_PROPERTIES
#7639,#7704,HAS_PROPERTIES
#7639,#7706,HAS_PROPERTIES
#7639,#7708,HAS_PROPERTIES
#7743,#7746,HAS_PROPERTIES
#7743,#7759,HAS_PROPERTIES
#7743,#7761,HAS_PROPERTIES
#7743,#7763,HAS_PROPERTIES
#7743,#7765,HAS_PROPERTIES
#7795,#7798,HAS_PROPERTIES
#7795,#7811,HAS_PROPERTIES
#7795,#7813,HAS_PROPERTIES
#7795,#7815,HAS_PROPERTIES
#7795,#7817,HAS_PROPERTIES
#7847,#7850,HAS_PROPERTIES
#7847,#7863,HAS_PROPERTIES
#7847,#7865,HAS_PROPERTIES
#7847,#7867,HAS_PROPERTIES
#7847,#7869,HAS_PROPERTIES
#7899,#7902,HAS_PROPERTIES
#7899,#7915,HAS_PROPERTIES
#7899,#7917,HAS_PROPERTIES
#7899,#7919,HAS_PROPERTIES
#7899,#7921,HAS_PROPERTIES
#7951,#7954,HAS_PROPERTIES
#7951,#7967,HAS_PROPERTIES
#7951,#7969,HAS_PROPERTIES
#7951,#7971,HAS_PROPERTIES
#7951,#7973,HAS_PROPERTIES
#21980,#21983,HAS_PROPERTIES
#21980,#21996,HAS_PROPERTIES
#21980,#21998,HAS_PROPERTIES
#21980,#22000,HAS_PROPERTIES
#21980,#22002,HAS_PROPERTIES
#22032,#22035,HAS_PROPERTIES
#22032,#22048,HAS_PROPERTIES
#22032,#22050,HAS_PROPERTIES
#22032,#22052,HAS_PROPERTIES
#22032,#22054,HAS_PROPERTIES
#22084,#22087,HAS_PROPERTIES
#22084,#22100,HAS_PROPERTIES
#22084,#22102,HAS_PROPERTIES
#22084,#22104,HAS_PROPERTIES
#22084,#22106,HAS_PROPERTIES
#22136,#22139,HAS_PROPERTIES
#22136,#22152,HAS_PROPERTIES
#22136,#22154,HAS_PROPERTIES
#22136,#22156,HAS_PROPERTIES
#22136,#22158,HAS_PROPERTIES
#22188,#22191,HAS_PROPERTIES
#22188,#22204,HAS_PROPERTIES
#22188,#22206,HAS_PROPERTIES
#22188,#22208,HAS_PROPERTIES
#22188,#22210,HAS_PROPERTIES
#22240,#22243,HAS_PROPERTIES
#22240,#22256,HAS_PROPERTIES
#22240,#22258,HAS_PROPERTIES
#22240,#22260,HAS_PROPERTIES
#22240,#22262,HAS_PROPERTIES
#22292,#22295,HAS_PROPERTIES
#22292,#22308,HAS_PROPERTIES
#22292,#22310,HAS_PROPERTIES
#22292,#22312,HAS_PROPERTIES
#22292,#22314,HAS_PROPERTIES
#22344,#22347,HAS_PROPERTIES
#22344,#22360,HAS_PROPERTIES
#22344,#22362,HAS_PROPERTIES
#22344,#22364,HAS_PROPERTIES
#22344,#22366,HAS_PROPERTIES
#22396,#22399,HAS_PROPERTIES
#22396,#22412,HAS_PROPERTIES
#22396,#22414,HAS_PROPERTIES
#22396,#22416,HAS_PROPERTIES
#22396,#22418,HAS_PROPERTIES
#22448,#22451,HAS_PROPERTIES
#22448,#22464,HAS_PROPERTIES
#22448,#22466,HAS_PROPERTIES
#22448,#22468,HAS_PROPERTIES
#22448,#22470,HAS_PROPERTIES
#23162,#23165,HAS_PROPERTIES
#23162,#23221,HAS_PROPERTIES
#23162,#23223,HAS_PROPERTIES
#23162,#23225,HAS_PROPERTIES
#23162,#23227,HAS_PROPERTIES
#23251,#23254,HAS_PROPERTIES
#23251,#23265,HAS_PROPERTIES
#23251,#23267,HAS_PROPERTIES
#23251,#23269,HAS_PROPERTIES
#23251,#23271,HAS_PROPERTIES
#6426,#6498,HAS_PROPERTIES
#6531,#6498,HAS_PROPERTIES
#6426,#6499,HAS_PROPERTIES
#6531,#6499,HAS_PROPERTIES
#6426,#6500,HAS_PROPERTIES
#6531,#6500,HAS_PROPERTIES
#6426,#6501,HAS_PROPERTIES
#6531,#6501,HAS_PROPERTIES
#6426,#6502,HAS_PROPERTIES
#6531,#6502,HAS_PROPERTIES
#6921,#6992,HAS_PROPERTIES
#7025,#6992,HAS_PROPERTIES
#22396,#6992,HAS_PROPERTIES
#22448,#6992,HAS_PROPERTIES
#6921,#6993,HAS_PROPERTIES
#7025,#6993,HAS_PROPERTIES
#22396,#6993,HAS_PROPERTIES
#22448,#6993,HAS_PROPERTIES
#6921,#6994,HAS_PROPERTIES
#7025,#6994,HAS_PROPERTIES
#22396,#6994,HAS_PROPERTIES
#22448,#6994,HAS_PROPERTIES
#6921,#6995,HAS_PROPERTIES
#7025,#6995,HAS_PROPERTIES
#22396,#6995,HAS_PROPERTIES
#22448,#6995,HAS_PROPERTIES
#6921,#6996,HAS_PROPERTIES
#7025,#6996,HAS_PROPERTIES
#22396,#6996,HAS_PROPERTIES
#22448,#6996,HAS_PROPERTIES
#7190,#7261,HAS_PROPERTIES
#7795,#7261,HAS_PROPERTIES
#21980,#7261,HAS_PROPERTIES
#22188,#7261,HAS_PROPERTIES
#7190,#7262,HAS_PROPERTIES
#7795,#7262,HAS_PROPERTIES
#21980,#7262,HAS_PROPERTIES
#22188,#7262,HAS_PROPERTIES
#7190,#7263,HAS_PROPERTIES
#7795,#7263,HAS_PROPERTIES
#21980,#7263,HAS_PROPERTIES
