:START_ID,:END_ID,:TYPE
#6416,#6415,HAS_ITEM
#6419,#6418,HAS_ITEM
#6521,#6520,HAS_ITEM
#6524,#6523,HAS_ITEM
#6642,#6641,HAS_ITEM
#6645,#6644,HAS_ITEM
#6747,#6746,HAS_ITEM
#6750,#6749,HAS_ITEM
#6911,#6910,HAS_ITEM
#6914,#6913,HAS_ITEM
#7015,#7014,HAS_ITEM
#7018,#7017,HAS_ITEM
#7180,#7179,HAS_ITEM
#7183,#7182,HAS_ITEM
#7397,#7396,HAS_ITEM
#7400,#7399,HAS_ITEM
#7629,#7628,HAS_ITEM
#7632,#7631,HAS_ITEM
#7733,#7732,HAS_ITEM
#7736,#7735,HAS_ITEM
#7785,#7784,HAS_ITEM
#7788,#7787,HAS_ITEM
#7837,#7836,HAS_ITEM
#7840,#7839,HAS_ITEM
#7889,#7888,HAS_ITEM
#7892,#7891,HAS_ITEM
#7941,#7940,HAS_ITEM
#7944,#7943,HAS_ITEM
#8056,#8055,HAS_ITEM
#8059,#8058,HAS_ITEM
#8159,#8158,HAS_ITEM
#8162,#8161,HAS_ITEM
#8273,#8272,HAS_ITEM
#8276,#8275,HAS_ITEM
#8376,#8375,HAS_ITEM
#8379,#8378,HAS_ITEM
#12566,#12565,HAS_ITEM
#12968,#12967,HAS_ITEM
#13323,#13322,HAS_ITEM
#13677,#13676,HAS_ITEM
#14032,#14031,HAS_ITEM
#14386,#14385,HAS_ITEM
#14741,#14740,HAS_ITEM
#15095,#15094,HAS_ITEM
#15455,#15454,HAS_ITEM
#15848,#15847,HAS_ITEM
#15952,#15951,HAS_ITEM
#15955,#15954,HAS_ITEM
#16003,#16002,HAS_ITEM
#16006,#16005,HAS_ITEM
#16054,#16053,HAS_ITEM
#16057,#16056,HAS_ITEM
#16105,#16104,HAS_ITEM
#16108,#16107,HAS_ITEM
#16141,#16140,HAS_ITEM
#16167,#16166,HAS_ITEM
#16250,#16249,HAS_ITEM
#16253,#16252,HAS_ITEM
#16400,#16399,HAS_ITEM
#16403,#16402,HAS_ITEM
#16477,#16476,HAS_ITEM
#16523,#16522,HAS_ITEM
#16555,#16554,HAS_ITEM
#16581,#16580,HAS_ITEM
#16607,#16606,HAS_ITEM
#16633,#16632,HAS_ITEM
#16659,#16658,HAS_ITEM
#16685,#16684,HAS_ITEM
#16711,#16710,HAS_ITEM
#16791,#16790,HAS_ITEM
#16794,#16793,HAS_ITEM
#16873,#16872,HAS_ITEM
#16876,#16875,HAS_ITEM
#16906,#16905,HAS_ITEM
#16932,#16931,HAS_ITEM
#16963,#16962,HAS_ITEM
#16989,#16988,HAS_ITEM
#17015,#17014,HAS_ITEM
#17330,#17329,HAS_ITEM
#17333,#17332,HAS_ITEM
#17398,#17397,HAS_ITEM
#17401,#17400,HAS_ITEM
#17521,#17520,HAS_ITEM
#17524,#17523,HAS_ITEM
#17591,#17590,HAS_ITEM
#17594,#17593,HAS_ITEM
#17705,#17704,HAS_ITEM
#17708,#17707,HAS_ITEM
#17775,#17774,HAS_ITEM
#17778,#17777,HAS_ITEM
#17804,#17803,HAS_ITEM
#17807,#17806,HAS_ITEM
#17833,#17832,HAS_ITEM
#17836,#17835,HAS_ITEM
#17862,#17861,HAS_ITEM
#17865,#17864,HAS_ITEM
#17891,#17890,HAS_ITEM
#17894,#17893,HAS_ITEM
#19264,#19263,HAS_ITEM
#19267,#19266,HAS_ITEM
#20646,#20645,HAS_ITEM
#20649,#20648,HAS_ITEM
#20715,#20714,HAS_ITEM
#20718,#20717,HAS_ITEM
#20744,#20743,HAS_ITEM
#20747,#20746,HAS_ITEM
#21811,#21810,HAS_ITEM
#21814,#21813,HAS_ITEM
#21919,#21918,HAS_ITEM
#21922,#21921,HAS_ITEM
#21970,#21969,HAS_ITEM
#21973,#21972,HAS_ITEM
#22022,#22021,HAS_ITEM
#22025,#22024,HAS_ITEM
#22074,#22073,HAS_ITEM
#22077,#22076,HAS_ITEM
#22126,#22125,HAS_ITEM
#22129,#22128,HAS_ITEM
#22178,#22177,HAS_ITEM
#22181,#22180,HAS_ITEM
#22230,#22229,HAS_ITEM
#22233,#22232,HAS_ITEM
#22282,#22281,HAS_ITEM
#22285,#22284,HAS_ITEM
#22334,#22333,HAS_ITEM
#22337,#22336,HAS_ITEM
#22386,#22385,HAS_ITEM
#22389,#22388,HAS_ITEM
#22438,#22437,HAS_ITEM
#22441,#22440,HAS_ITEM
#23151,#23150,HAS_ITEM
#23154,#23153,HAS_ITEM
#23240,#23239,HAS_ITEM
#23243,#23242,HAS_ITEM
#26930,#26929,HAS_ITEM
#26933,#26932,HAS_ITEM
