:START_ID,:END_ID,:TYPE
#3784,#3783,HAS_ITEM
#3989,#3988,HAS_ITEM
#4033,#4032,HAS_ITEM
#4077,#4076,HAS_ITEM
#4121,#4120,HAS_ITEM
#4209,#4208,HAS_ITEM
#4254,#4253,HAS_ITEM
#4367,#4366,HAS_ITEM
#4433,#4432,HAS_ITEM
#4498,#4497,HAS_ITEM
#4543,#4542,HAS_ITEM
#4588,#4587,HAS_ITEM
#4633,#4632,HAS_ITEM
#4808,#4807,HAS_ITEM
#4858,#4857,HAS_ITEM
#4908,#4907,HAS_ITEM
#4958,#4957,HAS_ITEM
#5047,#5046,HAS_ITEM
#5096,#5095,HAS_ITEM
#5305,#5304,HAS_ITEM
#5432,#5431,HAS_ITEM
#5482,#5481,HAS_ITEM
#5532,#5531,HAS_ITEM
#5582,#5581,HAS_ITEM
#5632,#5631,HAS_ITEM
#5677,#5676,HAS_ITEM
#5721,#5720,HAS_ITEM
#5765,#5764,HAS_ITEM
#5849,#5848,HAS_ITEM
#5893,#5892,HAS_ITEM
#5938,#5937,HAS_ITEM
#5982,#5981,HAS_ITEM
#6026,#6025,HAS_ITEM
#6070,#6069,HAS_ITEM
#8431,#8430,HAS_ITEM
#22653,#22652,HAS_ITEM
#22698,#22697,HAS_ITEM
#22743,#22742,HAS_ITEM
#22788,#22787,HAS_ITEM
#24575,#24574,HAS_ITEM
#24670,#24669,HAS_ITEM
#24713,#24712,HAS_ITEM
#24758,#24757,HAS_ITEM
#24803,#24802,HAS_ITEM
#31421,#31420,HAS_ITEM
#31466,#31465,HAS_ITEM
#31527,#31526,HAS_ITEM
#35189,#35188,HAS_ITEM
#35347,#35346,HAS_ITEM
#35442,#35441,HAS_ITEM
#35487,#35486,HAS_ITEM
#36602,#36601,HAS_ITEM
#36811,#36810,HAS_ITEM
#36984,#36983,HAS_ITEM
#37114,#37113,HAS_ITEM
#37244,#37243,HAS_ITEM
#37375,#37374,HAS_ITEM
#37505,#37504,HAS_ITEM
#37635,#37634,HAS_ITEM
#37903,#37902,HAS_ITEM
#37960,#37959,HAS_ITEM
#38005,#38004,HAS_ITEM
#38050,#38049,HAS_ITEM
#38095,#38094,HAS_ITEM
#38140,#38139,HAS_ITEM
#38185,#38184,HAS_ITEM
#38230,#38229,HAS_ITEM
