:START_ID,:END_ID,:TYPE
#67,#69,HAS_PROPERTIES
#212,#214,HAS_PROPERTIES
#355,#357,HAS_PROPERTIES
#514,#516,HAS_PROPERTIES
#819,#821,HAS_PROPERTIES
#1059,#1061,HAS_PROPERTIES
#1218,#1220,HAS_PROPERTIES
#1442,#1444,HAS_PROPERTIES
#1627,#1629,HAS_PROPERTIES
#1782,#1784,HAS_PROPERTIES
#1928,#1930,HAS_PROPERTIES
#2108,#2110,HAS_PROPERTIES
#2412,#2414,HAS_PROPERTIES
#2637,#2639,HAS_PROPERTIES
#2789,#2791,HAS_PROPERTIES
#3013,#3015,HAS_PROPERTIES
#3197,#3199,HAS_PROPERTIES
#3325,#3327,HAS_PROPERTIES
#3456,#3458,HAS_PROPERTIES
#3586,#3588,HAS_PROPERTIES
#3707,#3709,HAS_PROPERTIES
