:LABEL,id,ifc_type
IfcCompositeCurve,#8453,IFCCOMPOSITECURVE
IfcCompositeCurve,#8484,IFCCOMPOSITECURVE
IfcCompositeCurve,#8512,IFCCOMPOSITECURVE
IfcCompositeCurve,#8540,IFCCOMPOSITECURVE
IfcCompositeCurve,#8568,IFCCOMPOSITECURVE
IfcCompositeCurve,#8596,IFCCOMPOSITECURVE
IfcCompositeCurve,#8624,IFCCOMPOSITECURVE
IfcCompositeCurve,#8652,IFCCOMPOSITECURVE
IfcCompositeCurve,#8680,IFCCOMPOSITECURVE
IfcCompositeCurve,#8708,IFCCOMPOSITECURVE
IfcCompositeCurve,#8736,IFCCOMPOSITECURVE
IfcCompositeCurve,#8764,IFCCOMPOSITECURVE
IfcCompositeCurve,#8792,IFCCOMPOSITECURVE
IfcCompositeCurve,#8820,IFCCOMPOSITECURVE
IfcCompositeCurve,#8848,IFCCOMPOSITECURVE
IfcCompositeCurve,#16298,IFCCOMPOSITECURVE
IfcCompositeCurve,#16839,IFCCOMPOSITECURVE
IfcCompositeCurve,#17956,IFCCOMPOSITECURVE
IfcCompositeCurve,#17992,IFCCOMPOSITECURVE
IfcCompositeCurve,#19369,IFCCOMPOSITECURVE
IfcCompositeCurve,#19402,IFCCOMPOSITECURVE
IfcCompositeCurve,#31549,IFCCOMPOSITECURVE
IfcCompositeCurve,#31577,IFCCOMPOSITECURVE
IfcCompositeCurve,#31605,IFCCOMPOSITECURVE
IfcCompositeCurve,#31633,IFCCOMPOSITECURVE
IfcCompositeCurve,#31661,IFCCOMPOSITECURVE
IfcCompositeCurve,#31689,IFCCOMPOSITECURVE
IfcCompositeCurve,#31717,IFCCOMPOSITECURVE
IfcCompositeCurve,#31745,IFCCOMPOSITECURVE
IfcCompositeCurve,#31773,IFCCOMPOSITECURVE
IfcCompositeCurve,#31801,IFCCOMPOSITECURVE
IfcCompositeCurve,#31829,IFCCOMPOSITECURVE
IfcCompositeCurve,#31857,IFCCOMPOSITECURVE
IfcCompositeCurve,#31885,IFCCOMPOSITECURVE
IfcCompositeCurve,#31913,IFCCOMPOSITECURVE
IfcCompositeCurve,#31941,IFCCOMPOSITECURVE
IfcCompositeCurve,#36674,IFCCOMPOSITECURVE
IfcCompositeCurve,#36883,IFCCOMPOSITECURVE
IfcCompositeCurve,#37056,IFCCOMPOSITECURVE
IfcCompositeCurve,#37186,IFCCOMPOSITECURVE
IfcCompositeCurve,#37316,IFCCOMPOSITECURVE
IfcCompositeCurve,#37447,IFCCOMPOSITECURVE
IfcCompositeCurve,#37577,IFCCOMPOSITECURVE
IfcCompositeCurve,#37707,IFCCOMPOSITECURVE
