:START_ID,:END_ID,:TYPE
#67,#5267,HAS_BOUNDARY
#67,#21401,HAS_BOUNDARY
#212,#5267,HAS_BOUNDARY
#212,#21449,HAS_BOUNDARY
#355,#5267,HAS_BOUNDARY
#355,#5267,HAS_BOUNDARY
#355,#21497,HAS_BOUNDARY
#514,#5267,HAS_BOUNDARY
#514,#5267,HAS_BOUNDARY
#514,#5267,HAS_BOUNDARY
#514,#21401,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#6247,HAS_BOUNDARY
#819,#21147,HAS_BOUNDARY
#1059,#6247,HAS_BOUNDARY
#1059,#6247,HAS_BOUNDARY
#1059,#21336,HAS_BOUNDARY
#1218,#6247,HAS_BOUNDARY
#1218,#6247,HAS_BOUNDARY
#1218,#20958,HAS_BOUNDARY
#1442,#6247,HAS_BOUNDARY
#1442,#6247,HAS_BOUNDARY
#1442,#20903,HAS_BOUNDARY
#1627,#5165,HAS_BOUNDARY
#1627,#21610,HAS_BOUNDARY
#1782,#5165,HAS_BOUNDARY
#1782,#21658,HAS_BOUNDARY
#1928,#5165,HAS_BOUNDARY
#1928,#5165,HAS_BOUNDARY
#1928,#21545,HAS_BOUNDARY
#2108,#5165,HAS_BOUNDARY
#2108,#5165,HAS_BOUNDARY
#2108,#5165,HAS_BOUNDARY
#2108,#21610,HAS_BOUNDARY
#2412,#6132,HAS_BOUNDARY
#2412,#6132,HAS_BOUNDARY
#2412,#6132,HAS_BOUNDARY
#2412,#6132,HAS_BOUNDARY
#2412,#21080,HAS_BOUNDARY
#2637,#6132,HAS_BOUNDARY
#2637,#6132,HAS_BOUNDARY
#2637,#21195,HAS_BOUNDARY
#2789,#6132,HAS_BOUNDARY
#2789,#6132,HAS_BOUNDARY
#2789,#20792,HAS_BOUNDARY
#3013,#6132,HAS_BOUNDARY
#3013,#6132,HAS_BOUNDARY
#3013,#21013,HAS_BOUNDARY
#3197,#6247,HAS_BOUNDARY
#3197,#21336,HAS_BOUNDARY
#3325,#6132,HAS_BOUNDARY
#3325,#21195,HAS_BOUNDARY
#3456,#6247,HAS_BOUNDARY
#3456,#21401,HAS_BOUNDARY
#3586,#6132,HAS_BOUNDARY
#3586,#21610,HAS_BOUNDARY
