:START_ID,:END_ID,:TYPE
#9021,#9029,HAS_PROPERTIES
#9021,#9113,HAS_PROPERTIES
#9021,#9115,HAS_PROPERTIES
#9021,#9117,HAS_PROPERTIES
#9021,#9119,HAS_PROPERTIES
#9021,#9121,HAS_PROPERTIES
#32116,#32124,HAS_PROPERTIES
#32116,#32141,HAS_PROPERTIES
#32116,#32143,HAS_PROPERTIES
#32116,#32145,HAS_PROPERTIES
#32116,#32147,HAS_PROPERTIES
#32116,#32149,HAS_PROPERTIES
#9021,#9123,HAS_PROPERTIES
#32116,#9123,HAS_PROPERTIES
#9021,#9124,HAS_PROPERTIES
#32116,#9124,HAS_PROPERTIES
#9021,#9125,HAS_PROPERTIES
#32116,#9125,HAS_PROPERTIES
#9021,#9126,HAS_PROPERTIES
#32116,#9126,HAS_PROPERTIES
#9021,#9127,HAS_PROPERTIES
#32116,#9127,HAS_PROPERTIES
#9021,#9128,HAS_PROPERTIES
#32116,#9128,HAS_PROPERTIES
#9021,#9129,HAS_PROPERTIES
#32116,#9129,HAS_PROPERTIES
#9021,#9130,HAS_PROPERTIES
#32116,#9130,HAS_PROPERTIES
