:LABEL,id,ifc_type
IfcCompositeCurveSegment,#8436,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8440,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8444,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8448,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8452,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8467,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8471,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8475,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8479,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8483,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8495,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8499,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8503,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8507,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8511,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8523,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8527,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8531,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8535,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8539,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8551,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8555,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8559,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8563,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8567,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8579,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8583,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8587,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8591,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8595,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8607,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8611,IFCCOMPOSITECURVESEGMENT
IfcCompositeCurveSegment,#8615,IFCCOMPOSITECURVESEGMENT
