:START_ID,:END_ID,:TYPE
#6426,#6413,IS_TYPE_OF
#6531,#6413,IS_TYPE_OF
#6921,#6908,IS_TYPE_OF
#7025,#6908,IS_TYPE_OF
#22396,#6908,IS_TYPE_OF
#22448,#6908,IS_TYPE_OF
#7190,#7177,IS_TYPE_OF
#7795,#7177,IS_TYPE_OF
#21980,#7177,IS_TYPE_OF
#22188,#7177,IS_TYPE_OF
#7407,#7394,IS_TYPE_OF
#7743,#7394,IS_TYPE_OF
#7847,#7394,IS_TYPE_OF
#7951,#7394,IS_TYPE_OF
#22032,#7394,IS_TYPE_OF
#22084,#7394,IS_TYPE_OF
#22240,#7394,IS_TYPE_OF
#22344,#7394,IS_TYPE_OF
#7639,#7626,IS_TYPE_OF
#7899,#7626,IS_TYPE_OF
#22136,#7626,IS_TYPE_OF
#22292,#7626,IS_TYPE_OF
#23162,#23148,IS_TYPE_OF
#23251,#23148,IS_TYPE_OF
