:LABEL,id,ifc_type
IfcConnectedFaceSet,#815,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#2408,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#5395,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9322,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9809,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9836,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9863,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9890,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9917,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9944,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9971,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#9998,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10025,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10052,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10079,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10106,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10133,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10160,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10187,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10214,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10241,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10268,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10295,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10322,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10349,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10376,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10403,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10430,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10457,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10484,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10511,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10538,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10565,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10592,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10619,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10646,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10673,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10700,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10727,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10754,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10781,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10808,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10835,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10862,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10889,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10916,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10943,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10970,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#10997,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11024,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11051,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11078,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11105,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11132,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11159,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11186,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11213,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11240,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11267,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11294,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11321,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11348,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11415,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11482,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11549,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11616,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#11693,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12180,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12324,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12377,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12430,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12531,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12558,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12726,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12779,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12832,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12933,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#12960,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13081,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13134,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13187,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13288,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13315,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13435,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13488,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13541,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13642,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13669,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13790,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13843,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13896,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#13997,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14024,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14144,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14197,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14250,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14351,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14378,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14499,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14552,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14605,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14706,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14733,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14853,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14906,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#14959,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15060,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15087,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15210,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15315,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15420,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15447,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15603,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15708,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15813,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#15840,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#17122,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#17225,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#17277,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#18190,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#18317,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#19031,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#19226,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#19600,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#19711,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#20413,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#20608,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#22991,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#23088,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#23115,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#23667,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#23764,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#23822,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#23880,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#23988,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24056,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24124,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24182,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24264,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24322,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24404,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24472,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#24540,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#25812,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#26777,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#26830,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#26857,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#26907,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#27969,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#28934,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#28987,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#29014,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#29064,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#30112,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#31077,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#31130,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#31157,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#31207,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32342,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32788,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32815,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32842,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32869,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32896,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32923,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32950,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#32977,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33004,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33031,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33058,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33085,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33112,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33139,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33166,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33193,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33220,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33247,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33274,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33301,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33328,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33355,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33382,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33409,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33436,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33463,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33490,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33517,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33544,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33571,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33598,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33625,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33652,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33679,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33706,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33733,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33760,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33787,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33814,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33841,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33868,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33895,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33922,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33949,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#33976,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34003,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34030,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34057,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34084,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34111,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34138,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34165,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34192,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34219,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34246,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34273,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34300,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34327,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34394,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34461,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34528,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34595,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#34672,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#35159,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#35608,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#35661,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#35740,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#35767,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#35950,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#36003,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#36082,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#36109,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#36248,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#36301,IFCCONNECTEDFACESET
IfcConnectedFaceSet,#36380,IFCCONNECTEDFACESET
