:LABEL,id,ifc_type
IfcConnectionSurfaceGeometry,#79,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#90,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#97,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#104,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#112,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#119,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#126,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#134,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#142,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#150,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#158,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#228,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#241,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#251,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#258,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#266,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#273,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#281,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#289,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#296,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#303,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#369,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#391,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#392,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#403,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#410,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#417,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#424,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#431,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#438,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#445,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#540,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#566,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#567,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#568,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#592,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#599,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#606,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#613,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#621,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#629,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#636,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#643,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#650,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#657,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#665,IFCCONNECTIONSURFACEGEOMETRY
IfcConnectionSurfaceGeometry,#673,IFCCONNECTIONSURFACEGEOMETRY
