:LABEL,global_id,id,ifc_type,name
IfcCovering,3bXiCStxP6Fgxdej$yc5T8,#23671,IFCCOVERING,Compound Ceiling:Gypsum Board:187149
IfcCovering,3bXiCStxP6Fgxdej$yc503,#23768,IFCCOVERING,Compound Ceiling:Gypsum Board:187462
IfcCovering,3bXiCStxP6Fgxdej$yc50B,#23826,IFCCOVERING,Compound Ceiling:Gypsum Board:187470
IfcCovering,3bXiCStxP6Fgxdej$yc50U,#23884,IFCCOVERING,Compound Ceiling:Gypsum Board:187483
IfcCovering,3bXiCStxP6Fgxdej$yc50n,#23992,IFCCOVERING,Compound Ceiling:Gypsum Board:187508
IfcCovering,3bXiCStxP6Fgxdej$yc52o,#24060,IFCCOVERING,Compound Ceiling:Gypsum Board:187639
IfcCovering,3bXiCStxP6Fgxdej$yc554,#24128,IFCCOVERING,Compound Ceiling:Gypsum Board:187649
IfcCovering,3bXiCStxP6Fgxdej$yc55E,#24186,IFCCOVERING,Compound Ceiling:Gypsum Board:187659
IfcCovering,3bXiCStxP6Fgxdej$yc55M,#24268,IFCCOVERING,Compound Ceiling:Gypsum Board:187667
IfcCovering,3bXiCStxP6Fgxdej$yc55U,#24326,IFCCOVERING,Compound Ceiling:Gypsum Board:187675
IfcCovering,3bXiCStxP6Fgxdej$yc55c,#24408,IFCCOVERING,Compound Ceiling:Gypsum Board:187683
IfcCovering,3bXiCStxP6Fgxdej$yc55k,#24476,IFCCOVERING,Compound Ceiling:Gypsum Board:187691
IfcCovering,3bXiCStxP6Fgxdej$yc55m,#24544,IFCCOVERING,Compound Ceiling:Gypsum Board:187701
