:LABEL,id,ifc_type
IfcCurveBoundedPlane,#78,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#89,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#227,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#240,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#250,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#368,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#382,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#390,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#402,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#539,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#549,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#557,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#565,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#591,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#830,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#842,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#853,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#863,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#889,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#906,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1072,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1081,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1093,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1105,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1233,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1247,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1256,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1270,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1457,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1466,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1479,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1493,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1640,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1649,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1660,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1799,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1812,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1822,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1940,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1951,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1962,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1976,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1984,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#1996,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2132,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2142,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2150,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2158,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2184,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2423,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2435,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2446,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2456,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2482,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2499,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2650,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2663,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2671,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2683,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2804,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2818,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2827,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#2841,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3028,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3042,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3050,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3064,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3208,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3221,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3230,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3336,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3349,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3358,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3467,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3476,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3485,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3494,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3597,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3606,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3615,IFCCURVEBOUNDEDPLANE
IfcCurveBoundedPlane,#3624,IFCCURVEBOUNDEDPLANE
