:LABEL,global_id,id,ifc_type
IfcCurveStyle,,#3882,IFCCURVESTYLE
IfcCurveStyle,,#3884,IFCCURVESTYLE
IfcCurveStyle,,#3907,IFCCURVESTYLE
IfcCurveStyle,,#3909,IFCCURVESTYLE
IfcCurveStyle,,#3922,IFCCURVESTYLE
IfcCurveStyle,,#3924,IFCCURVESTYLE
IfcCurveStyle,Sand:1,#3953,IFCCURVESTYLE
IfcCurveStyle,Sand:2,#3963,IFCCURVESTYLE
IfcCurveStyle,Sand:3,#3973,IFCCURVESTYLE
IfcCurveStyle,Concrete:1,#4724,IFCCURVESTYLE
IfcCurveStyle,Concrete:2,#4729,IFCCURVESTYLE
IfcCurveStyle,Concrete:3,#4734,IFCCURVESTYLE
IfcCurveStyle,Concrete:4,#4739,IFCCURVESTYLE
IfcCurveStyle,Concrete:5,#4744,IFCCURVESTYLE
IfcCurveStyle,Concrete:6,#4749,IFCCURVESTYLE
IfcCurveStyle,Concrete:7,#4754,IFCCURVESTYLE
IfcCurveStyle,Concrete:8,#4759,IFCCURVESTYLE
IfcCurveStyle,Concrete:9,#4764,IFCCURVESTYLE
IfcCurveStyle,Concrete:10,#4771,IFCCURVESTYLE
IfcCurveStyle,Concrete:11,#4778,IFCCURVESTYLE
IfcCurveStyle,Concrete:12,#4785,IFCCURVESTYLE
IfcCurveStyle,Concrete:13,#4792,IFCCURVESTYLE
IfcCurveStyle,,#6205,IFCCURVESTYLE
IfcCurveStyle,,#20863,IFCCURVESTYLE
IfcCurveStyle,,#21269,IFCCURVESTYLE
IfcCurveStyle,,#21271,IFCCURVESTYLE
IfcCurveStyle,Sand:1,#21291,IFCCURVESTYLE
IfcCurveStyle,Sand:2,#21301,IFCCURVESTYLE
IfcCurveStyle,Sand:3,#21311,IFCCURVESTYLE
IfcCurveStyle,,#36689,IFCCURVESTYLE
IfcCurveStyle,,#36691,IFCCURVESTYLE
