:LABEL,global_id,id,ifc_type
IfcCurveStyleFont,Sand:1,#3952,IFCCURVESTYLEFONT
IfcCurveStyleFont,Sand:2,#3962,IFCCURVESTYLEFONT
IfcCurveStyleFont,Sand:3,#3972,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:1,#4723,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:2,#4728,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:3,#4733,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:4,#4738,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:5,#4743,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:6,#4748,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:7,#4753,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:8,#4758,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:9,#4763,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:10,#4770,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:11,#4777,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:12,#4784,IFCCURVESTYLEFONT
IfcCurveStyleFont,Concrete:13,#4791,IFCCURVESTYLEFONT
IfcCurveStyleFont,Sand:1,#21290,IFCCURVESTYLEFONT
IfcCurveStyleFont,Sand:2,#21300,IFCCURVESTYLEFONT
IfcCurveStyleFont,Sand:3,#21310,IFCCURVESTYLEFONT
