:LABEL,id,ifc_type
IfcCurveStyleFontPattern,#3946,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3947,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3948,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3949,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3950,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3951,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3956,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3957,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3958,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3959,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3960,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3961,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3966,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3967,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3968,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3969,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3970,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#3971,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4722,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4727,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4732,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4737,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4742,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4747,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4752,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4757,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4762,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4767,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4768,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4769,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4774,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4775,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4776,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4781,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4782,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4783,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4788,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4789,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#4790,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21284,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21285,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21286,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21287,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21288,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21289,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21294,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21295,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21296,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21297,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21298,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21299,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21304,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21305,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21306,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21307,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21308,IFCCURVESTYLEFONTPATTERN
IfcCurveStyleFontPattern,#21309,IFCCURVESTYLEFONTPATTERN
