:LABEL,global_id,id,ifc_type,name,object_type,overall_height,overall_width,tag
IfcDoor,1hOSvn6df7F8_7GcBWlRGQ,#6652,IFCDOOR,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596,1250mm x 2010mm,2.009999999999999,1.25,146596
IfcDoor,1hOSvn6df7F8_7GcBWlRH8,#6757,IFCDOOR,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678,1250mm x 2010mm,2.009999999999999,1.25,146678
IfcDoor,1hOSvn6df7F8_7GcBWlS8Z,#8066,IFCDOOR,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173,0762 x 2032mm,2.032,0.7619999999999989,150173
IfcDoor,1hOSvn6df7F8_7GcBWlS9F,#8169,IFCDOOR,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257,0762 x 2032mm,2.032,0.762,150257
IfcDoor,1hOSvn6df7F8_7GcBWlSFK,#8283,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378,0864 x 2032mm,2.032,0.8639999999999999,150378
IfcDoor,1hOSvn6df7F8_7GcBWlSDm,#8386,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478,0864 x 2032mm,2.032,0.8639999999999995,150478
IfcDoor,2OBrcmyk58NupXoVOHUuXp,#15962,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734,0864 x 2032mm,2.032,0.8639999999999995,159734
IfcDoor,2OBrcmyk58NupXoVOHUvVV,#16013,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834,0864 x 2032mm,2.032,0.8639999999999995,159834
IfcDoor,2OBrcmyk58NupXoVOHUvR4,#16064,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065,0864 x 2032mm,2.032,0.8639999999999985,160065
IfcDoor,2OBrcmyk58NupXoVOHUvPL,#16115,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208,0864 x 2032mm,2.032,0.8639999999999995,160208
IfcDoor,1s1jVhK8z0pgKYcr9jt781,#21821,IFCDOOR,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853,0813 x 2420mm,2.42,0.8129999999999998,171853
IfcDoor,1s1jVhK8z0pgKYcr9jt7AB,#21929,IFCDOOR,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975,0813 x 2420mm,2.42,0.8129999999999993,171975
IfcDoor,1aj$VJZFn2TxepZUBcKp$i,#35318,IFCDOOR,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720,0762 x 2032mm,2.032,0.762,203720
IfcDoor,1aj$VJZFn2TxepZUBcKpac,#35413,IFCDOOR,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034,0762 x 2032mm,2.032,0.762,204034
