:LABEL,global_id,id,ifc_type,name
IfcElementQuantity,0TnLbAMunB8BqfZMTM2K4n,#69,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,3pXfhFCEjEXB26L2n040aL,#214,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,1YwWvSwST6q8IN63ZqiW7y,#357,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,1psRps31rBGx0ZYG2Ob9Es,#516,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,1gKnV5ujDEIQMRKsMIhl$$,#821,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,2EL$EszfbALwKM4jpukSUn,#1061,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,2FWaZW_bT4Hg7ITw3_0R0i,#1220,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,26HGuo9lbDfxc66q2n3YeR,#1444,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,2x6M$Wgdf4GgRy4bu6pkOe,#1629,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,3vhQavO518ox9UVRUolzA4,#1784,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,2EpJAn0FzEoe9ftyEgraot,#1930,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,3YeMDKAmfDTBw6kiUfurYb,#2110,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,14tDsMhs128h$v0wqGma7j,#2414,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,2DuIKqxRL8leRtmk4U1c2u,#2639,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,06v2p8SH9589x8ki7vLy3_,#2791,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,2xqJNWR9L6W97Fk3renQTq,#3015,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,0uTUkDgf55G8e8edMfDGpL,#3199,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,1IOsqLNRb09B4I6JnAbWl7,#3327,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,0BpAAuw4f3EuRrOaRslMgS,#3458,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,0O5DhVVbH2I8TGalNd0e$S,#3588,IFCELEMENTQUANTITY,GSA Space Areas
IfcElementQuantity,1m9ktjXWjCQfiFtfDme8vw,#3709,IFCELEMENTQUANTITY,GSA Space Areas
