:LABEL,depth,extruded_direction,id,ifc_type,position,swept_area
IfcExtrudedAreaSolid,2.581,#9,#59,IFCEXTRUDEDAREASOLID,#58,#56
IfcExtrudedAreaSolid,2.587000000000001,#9,#207,IFCEXTRUDEDAREASOLID,#206,#204
IfcExtrudedAreaSolid,2.587000000000001,#9,#350,IFCEXTRUDEDAREASOLID,#349,#347
IfcExtrudedAreaSolid,2.581,#10,#509,IFCEXTRUDEDAREASOLID,#508,#506
IfcExtrudedAreaSolid,2.587000000000183,#9,#1054,IFCEXTRUDEDAREASOLID,#1053,#1051
IfcExtrudedAreaSolid,2.581000000000183,#9,#1213,IFCEXTRUDEDAREASOLID,#1212,#1210
IfcExtrudedAreaSolid,2.581000000000183,#9,#1437,IFCEXTRUDEDAREASOLID,#1436,#1434
IfcExtrudedAreaSolid,2.581,#9,#1622,IFCEXTRUDEDAREASOLID,#1621,#1619
IfcExtrudedAreaSolid,2.587000000000001,#9,#1777,IFCEXTRUDEDAREASOLID,#1776,#1774
IfcExtrudedAreaSolid,2.587000000000001,#9,#1923,IFCEXTRUDEDAREASOLID,#1922,#1920
IfcExtrudedAreaSolid,2.581,#9,#2103,IFCEXTRUDEDAREASOLID,#2102,#2100
IfcExtrudedAreaSolid,2.587000000000183,#9,#2632,IFCEXTRUDEDAREASOLID,#2631,#2629
IfcExtrudedAreaSolid,2.581000000000183,#9,#2784,IFCEXTRUDEDAREASOLID,#2783,#2781
IfcExtrudedAreaSolid,2.581000000000183,#9,#3008,IFCEXTRUDEDAREASOLID,#3007,#3005
IfcExtrudedAreaSolid,2.587000000000183,#9,#3192,IFCEXTRUDEDAREASOLID,#3191,#3189
IfcExtrudedAreaSolid,2.587000000000183,#9,#3320,IFCEXTRUDEDAREASOLID,#3319,#3317
IfcExtrudedAreaSolid,1.014400000000007,#9,#3451,IFCEXTRUDEDAREASOLID,#3450,#3448
IfcExtrudedAreaSolid,1.014400000000002,#9,#3581,IFCEXTRUDEDAREASOLID,#3580,#3578
IfcExtrudedAreaSolid,3.0,#9,#3702,IFCEXTRUDEDAREASOLID,#3701,#3699
IfcExtrudedAreaSolid,3.100000000000196,#9,#3789,IFCEXTRUDEDAREASOLID,#3788,#3787
IfcExtrudedAreaSolid,3.100000000000196,#9,#3994,IFCEXTRUDEDAREASOLID,#3993,#3992
IfcExtrudedAreaSolid,3.100000000000196,#9,#4038,IFCEXTRUDEDAREASOLID,#4037,#4036
IfcExtrudedAreaSolid,3.100000000000196,#9,#4082,IFCEXTRUDEDAREASOLID,#4081,#4080
IfcExtrudedAreaSolid,2.795000000000196,#9,#4126,IFCEXTRUDEDAREASOLID,#4125,#4124
IfcExtrudedAreaSolid,2.795000000000196,#9,#4214,IFCEXTRUDEDAREASOLID,#4213,#4212
IfcExtrudedAreaSolid,2.795000000000196,#9,#4259,IFCEXTRUDEDAREASOLID,#4258,#4257
IfcExtrudedAreaSolid,2.795000000000196,#9,#4372,IFCEXTRUDEDAREASOLID,#4371,#4370
IfcExtrudedAreaSolid,2.795000000000196,#9,#4438,IFCEXTRUDEDAREASOLID,#4437,#4436
IfcExtrudedAreaSolid,2.795000000000196,#9,#4503,IFCEXTRUDEDAREASOLID,#4502,#4501
IfcExtrudedAreaSolid,2.795000000000196,#9,#4548,IFCEXTRUDEDAREASOLID,#4547,#4546
IfcExtrudedAreaSolid,2.795000000000196,#9,#4593,IFCEXTRUDEDAREASOLID,#4592,#4591
IfcExtrudedAreaSolid,1.25,#9,#4638,IFCEXTRUDEDAREASOLID,#4637,#4636
IfcExtrudedAreaSolid,1.25,#9,#4813,IFCEXTRUDEDAREASOLID,#4812,#4811
IfcExtrudedAreaSolid,1.25,#9,#4863,IFCEXTRUDEDAREASOLID,#4862,#4861
IfcExtrudedAreaSolid,1.25,#9,#4913,IFCEXTRUDEDAREASOLID,#4912,#4911
IfcExtrudedAreaSolid,1.25,#9,#4963,IFCEXTRUDEDAREASOLID,#4962,#4961
IfcExtrudedAreaSolid,1.25,#9,#5052,IFCEXTRUDEDAREASOLID,#5051,#5050
IfcExtrudedAreaSolid,1.123,#9,#5101,IFCEXTRUDEDAREASOLID,#5100,#5099
IfcExtrudedAreaSolid,0.127,#9,#5157,IFCEXTRUDEDAREASOLID,#5156,#5154
IfcExtrudedAreaSolid,0.127,#9,#5262,IFCEXTRUDEDAREASOLID,#5261,#5259
IfcExtrudedAreaSolid,2.900000000000013,#9,#5310,IFCEXTRUDEDAREASOLID,#5309,#5308
IfcExtrudedAreaSolid,2.900000000000012,#9,#5443,IFCEXTRUDEDAREASOLID,#5442,#5441
IfcExtrudedAreaSolid,2.900000000000012,#9,#5493,IFCEXTRUDEDAREASOLID,#5492,#5491
IfcExtrudedAreaSolid,2.900000000000012,#9,#5543,IFCEXTRUDEDAREASOLID,#5542,#5541
IfcExtrudedAreaSolid,2.900000000000013,#9,#5593,IFCEXTRUDEDAREASOLID,#5592,#5591
IfcExtrudedAreaSolid,3.388000000000207,#9,#5637,IFCEXTRUDEDAREASOLID,#5636,#5635
IfcExtrudedAreaSolid,2.900000000000012,#9,#5682,IFCEXTRUDEDAREASOLID,#5681,#5680
IfcExtrudedAreaSolid,2.900000000000012,#9,#5726,IFCEXTRUDEDAREASOLID,#5725,#5724
IfcExtrudedAreaSolid,2.900000000000012,#9,#5770,IFCEXTRUDEDAREASOLID,#5769,#5768
IfcExtrudedAreaSolid,2.900000000000012,#9,#5854,IFCEXTRUDEDAREASOLID,#5853,#5852
IfcExtrudedAreaSolid,3.388000000000011,#9,#5898,IFCEXTRUDEDAREASOLID,#5897,#5896
IfcExtrudedAreaSolid,2.900000000000012,#9,#5943,IFCEXTRUDEDAREASOLID,#5942,#5941
IfcExtrudedAreaSolid,2.900000000000012,#9,#5987,IFCEXTRUDEDAREASOLID,#5986,#5985
IfcExtrudedAreaSolid,2.900000000000012,#9,#6031,IFCEXTRUDEDAREASOLID,#6030,#6029
IfcExtrudedAreaSolid,2.900000000000012,#9,#6075,IFCEXTRUDEDAREASOLID,#6074,#6073
IfcExtrudedAreaSolid,0.305,#9,#6127,IFCEXTRUDEDAREASOLID,#6126,#6124
IfcExtrudedAreaSolid,0.305,#9,#6242,IFCEXTRUDEDAREASOLID,#6241,#6239
IfcExtrudedAreaSolid,0.4170000000000001,#9,#6287,IFCEXTRUDEDAREASOLID,#6286,#6285
IfcExtrudedAreaSolid,2.294000000000008,#9,#6299,IFCEXTRUDEDAREASOLID,#6298,#6296
IfcExtrudedAreaSolid,0.04400000000002743,#9,#6320,IFCEXTRUDEDAREASOLID,#6319,#6317
IfcExtrudedAreaSolid,0.06300000000002744,#9,#6341,IFCEXTRUDEDAREASOLID,#6340,#6338
IfcExtrudedAreaSolid,0.3539999999999727,#9,#6359,IFCEXTRUDEDAREASOLID,#6358,#6356
IfcExtrudedAreaSolid,0.4170000000000001,#9,#6511,IFCEXTRUDEDAREASOLID,#6510,#6509
IfcExtrudedAreaSolid,0.4170000000000001,#9,#6563,IFCEXTRUDEDAREASOLID,#6562,#6561
IfcExtrudedAreaSolid,0.02499999999999445,#9,#6584,IFCEXTRUDEDAREASOLID,#6583,#6581
IfcExtrudedAreaSolid,0.02500000000000559,#9,#6603,IFCEXTRUDEDAREASOLID,#6602,#6600
IfcExtrudedAreaSolid,2.009999999999999,#9,#6610,IFCEXTRUDEDAREASOLID,#6609,#6607
IfcExtrudedAreaSolid,0.4170000000000001,#9,#6737,IFCEXTRUDEDAREASOLID,#6736,#6735
IfcExtrudedAreaSolid,0.4170000000000001,#9,#6788,IFCEXTRUDEDAREASOLID,#6787,#6786
IfcExtrudedAreaSolid,2.074000000000006,#9,#6800,IFCEXTRUDEDAREASOLID,#6799,#6797
IfcExtrudedAreaSolid,0.04400000000002743,#9,#6818,IFCEXTRUDEDAREASOLID,#6817,#6815
IfcExtrudedAreaSolid,0.06300000000002744,#9,#6836,IFCEXTRUDEDAREASOLID,#6835,#6833
IfcExtrudedAreaSolid,0.3539999999999727,#9,#6854,IFCEXTRUDEDAREASOLID,#6853,#6851
IfcExtrudedAreaSolid,0.4170000000000001,#9,#7005,IFCEXTRUDEDAREASOLID,#7004,#7003
IfcExtrudedAreaSolid,0.4170000000000001,#9,#7057,IFCEXTRUDEDAREASOLID,#7056,#7055
IfcExtrudedAreaSolid,2.284000000000005,#9,#7069,IFCEXTRUDEDAREASOLID,#7068,#7066
IfcExtrudedAreaSolid,0.04400000000002743,#9,#7087,IFCEXTRUDEDAREASOLID,#7086,#7084
IfcExtrudedAreaSolid,0.06300000000002744,#9,#7105,IFCEXTRUDEDAREASOLID,#7104,#7102
IfcExtrudedAreaSolid,0.3539999999999727,#9,#7123,IFCEXTRUDEDAREASOLID,#7122,#7120
IfcExtrudedAreaSolid,0.4170000000000001,#9,#7274,IFCEXTRUDEDAREASOLID,#7273,#7272
