:LABEL,id,ifc_type
IfcFace,#740,IFCFACE
IfcFace,#747,IFCFACE
IfcFace,#754,IFCFACE
IfcFace,#759,IFCFACE
IfcFace,#764,IFCFACE
IfcFace,#771,IFCFACE
IfcFace,#775,IFCFACE
IfcFace,#782,IFCFACE
IfcFace,#787,IFCFACE
IfcFace,#790,IFCFACE
IfcFace,#793,IFCFACE
IfcFace,#802,IFCFACE
IfcFace,#805,IFCFACE
IfcFace,#808,IFCFACE
IfcFace,#811,IFCFACE
IfcFace,#814,IFCFACE
IfcFace,#2333,IFCFACE
IfcFace,#2339,IFCFACE
IfcFace,#2346,IFCFACE
IfcFace,#2351,IFCFACE
IfcFace,#2356,IFCFACE
IfcFace,#2363,IFCFACE
IfcFace,#2368,IFCFACE
IfcFace,#2375,IFCFACE
IfcFace,#2380,IFCFACE
IfcFace,#2383,IFCFACE
IfcFace,#2386,IFCFACE
IfcFace,#2395,IFCFACE
IfcFace,#2398,IFCFACE
IfcFace,#2401,IFCFACE
IfcFace,#2404,IFCFACE
IfcFace,#2407,IFCFACE
IfcFace,#5331,IFCFACE
IfcFace,#5350,IFCFACE
IfcFace,#5357,IFCFACE
IfcFace,#5360,IFCFACE
IfcFace,#5363,IFCFACE
IfcFace,#5366,IFCFACE
IfcFace,#5371,IFCFACE
IfcFace,#5374,IFCFACE
IfcFace,#5377,IFCFACE
IfcFace,#5380,IFCFACE
IfcFace,#5385,IFCFACE
IfcFace,#5388,IFCFACE
IfcFace,#5391,IFCFACE
IfcFace,#5394,IFCFACE
IfcFace,#9152,IFCFACE
IfcFace,#9169,IFCFACE
IfcFace,#9173,IFCFACE
IfcFace,#9176,IFCFACE
IfcFace,#9181,IFCFACE
IfcFace,#9184,IFCFACE
IfcFace,#9188,IFCFACE
IfcFace,#9191,IFCFACE
IfcFace,#9194,IFCFACE
IfcFace,#9197,IFCFACE
IfcFace,#9200,IFCFACE
IfcFace,#9203,IFCFACE
IfcFace,#9208,IFCFACE
IfcFace,#9212,IFCFACE
IfcFace,#9216,IFCFACE
IfcFace,#9219,IFCFACE
IfcFace,#9223,IFCFACE
IfcFace,#9227,IFCFACE
IfcFace,#9230,IFCFACE
IfcFace,#9233,IFCFACE
IfcFace,#9236,IFCFACE
IfcFace,#9239,IFCFACE
IfcFace,#9242,IFCFACE
IfcFace,#9245,IFCFACE
IfcFace,#9248,IFCFACE
IfcFace,#9253,IFCFACE
IfcFace,#9258,IFCFACE
IfcFace,#9261,IFCFACE
IfcFace,#9264,IFCFACE
IfcFace,#9267,IFCFACE
IfcFace,#9270,IFCFACE
IfcFace,#9274,IFCFACE
IfcFace,#9277,IFCFACE
IfcFace,#9280,IFCFACE
IfcFace,#9284,IFCFACE
IfcFace,#9287,IFCFACE
IfcFace,#9292,IFCFACE
IfcFace,#9296,IFCFACE
IfcFace,#9299,IFCFACE
IfcFace,#9303,IFCFACE
IfcFace,#9306,IFCFACE
IfcFace,#9309,IFCFACE
IfcFace,#9312,IFCFACE
IfcFace,#9315,IFCFACE
IfcFace,#9318,IFCFACE
IfcFace,#9321,IFCFACE
IfcFace,#9789,IFCFACE
IfcFace,#9794,IFCFACE
IfcFace,#9799,IFCFACE
IfcFace,#9802,IFCFACE
IfcFace,#9805,IFCFACE
IfcFace,#9808,IFCFACE
IfcFace,#9816,IFCFACE
IfcFace,#9821,IFCFACE
IfcFace,#9826,IFCFACE
IfcFace,#9829,IFCFACE
IfcFace,#9832,IFCFACE
IfcFace,#9835,IFCFACE
IfcFace,#9843,IFCFACE
IfcFace,#9848,IFCFACE
IfcFace,#9853,IFCFACE
IfcFace,#9856,IFCFACE
IfcFace,#9859,IFCFACE
IfcFace,#9862,IFCFACE
IfcFace,#9870,IFCFACE
IfcFace,#9875,IFCFACE
IfcFace,#9880,IFCFACE
IfcFace,#9883,IFCFACE
IfcFace,#9886,IFCFACE
IfcFace,#9889,IFCFACE
IfcFace,#9897,IFCFACE
IfcFace,#9902,IFCFACE
IfcFace,#9907,IFCFACE
IfcFace,#9910,IFCFACE
IfcFace,#9913,IFCFACE
IfcFace,#9916,IFCFACE
IfcFace,#9924,IFCFACE
IfcFace,#9929,IFCFACE
IfcFace,#9934,IFCFACE
IfcFace,#9937,IFCFACE
IfcFace,#9940,IFCFACE
IfcFace,#9943,IFCFACE
IfcFace,#9951,IFCFACE
IfcFace,#9956,IFCFACE
IfcFace,#9961,IFCFACE
IfcFace,#9964,IFCFACE
IfcFace,#9967,IFCFACE
IfcFace,#9970,IFCFACE
IfcFace,#9978,IFCFACE
IfcFace,#9983,IFCFACE
IfcFace,#9988,IFCFACE
IfcFace,#9991,IFCFACE
IfcFace,#9994,IFCFACE
IfcFace,#9997,IFCFACE
IfcFace,#10005,IFCFACE
IfcFace,#10010,IFCFACE
IfcFace,#10015,IFCFACE
IfcFace,#10018,IFCFACE
IfcFace,#10021,IFCFACE
IfcFace,#10024,IFCFACE
IfcFace,#10032,IFCFACE
IfcFace,#10037,IFCFACE
IfcFace,#10042,IFCFACE
IfcFace,#10045,IFCFACE
IfcFace,#10048,IFCFACE
IfcFace,#10051,IFCFACE
IfcFace,#10059,IFCFACE
IfcFace,#10064,IFCFACE
IfcFace,#10069,IFCFACE
IfcFace,#10072,IFCFACE
IfcFace,#10075,IFCFACE
IfcFace,#10078,IFCFACE
IfcFace,#10086,IFCFACE
IfcFace,#10091,IFCFACE
IfcFace,#10096,IFCFACE
IfcFace,#10099,IFCFACE
IfcFace,#10102,IFCFACE
IfcFace,#10105,IFCFACE
IfcFace,#10113,IFCFACE
IfcFace,#10118,IFCFACE
