:LABEL,id,ifc_type
IfcFaceBasedSurfaceModel,#816,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#2409,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#5396,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#9323,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#12181,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#12559,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#12961,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#13316,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#13670,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#14025,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#14379,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#14734,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#15088,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#15448,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#15841,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#17278,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#19227,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#20609,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#23116,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#23668,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#23765,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#23823,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#23881,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#23989,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24057,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24125,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24183,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24265,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24323,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24405,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24473,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#24541,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#26908,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#29065,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#31208,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#32343,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#35160,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#35768,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#36110,IFCFACEBASEDSURFACEMODEL
IfcFaceBasedSurfaceModel,#36408,IFCFACEBASEDSURFACEMODEL
