:LABEL,id,ifc_type
IfcFaceBound,#801,IFCFACEBOUND
IfcFaceBound,#2394,IFCFACEBOUND
IfcFaceBound,#12275,IFCFACEBOUND
IfcFaceBound,#12288,IFCFACEBOUND
IfcFaceBound,#12442,IFCFACEBOUND
IfcFaceBound,#12455,IFCFACEBOUND
IfcFaceBound,#12468,IFCFACEBOUND
IfcFaceBound,#12481,IFCFACEBOUND
IfcFaceBound,#12678,IFCFACEBOUND
IfcFaceBound,#12690,IFCFACEBOUND
IfcFaceBound,#12844,IFCFACEBOUND
IfcFaceBound,#12857,IFCFACEBOUND
IfcFaceBound,#12870,IFCFACEBOUND
IfcFaceBound,#12883,IFCFACEBOUND
IfcFaceBound,#13032,IFCFACEBOUND
IfcFaceBound,#13045,IFCFACEBOUND
IfcFaceBound,#13199,IFCFACEBOUND
IfcFaceBound,#13212,IFCFACEBOUND
IfcFaceBound,#13225,IFCFACEBOUND
IfcFaceBound,#13238,IFCFACEBOUND
IfcFaceBound,#13387,IFCFACEBOUND
IfcFaceBound,#13399,IFCFACEBOUND
IfcFaceBound,#13553,IFCFACEBOUND
IfcFaceBound,#13566,IFCFACEBOUND
IfcFaceBound,#13579,IFCFACEBOUND
IfcFaceBound,#13592,IFCFACEBOUND
IfcFaceBound,#13741,IFCFACEBOUND
IfcFaceBound,#13754,IFCFACEBOUND
IfcFaceBound,#13908,IFCFACEBOUND
IfcFaceBound,#13921,IFCFACEBOUND
IfcFaceBound,#13934,IFCFACEBOUND
IfcFaceBound,#13947,IFCFACEBOUND
IfcFaceBound,#14096,IFCFACEBOUND
IfcFaceBound,#14108,IFCFACEBOUND
IfcFaceBound,#14262,IFCFACEBOUND
IfcFaceBound,#14275,IFCFACEBOUND
IfcFaceBound,#14288,IFCFACEBOUND
IfcFaceBound,#14301,IFCFACEBOUND
IfcFaceBound,#14450,IFCFACEBOUND
IfcFaceBound,#14463,IFCFACEBOUND
IfcFaceBound,#14617,IFCFACEBOUND
IfcFaceBound,#14630,IFCFACEBOUND
IfcFaceBound,#14643,IFCFACEBOUND
IfcFaceBound,#14656,IFCFACEBOUND
IfcFaceBound,#14805,IFCFACEBOUND
IfcFaceBound,#14817,IFCFACEBOUND
IfcFaceBound,#14971,IFCFACEBOUND
IfcFaceBound,#14984,IFCFACEBOUND
IfcFaceBound,#14997,IFCFACEBOUND
IfcFaceBound,#15010,IFCFACEBOUND
IfcFaceBound,#24225,IFCFACEBOUND
IfcFaceBound,#24238,IFCFACEBOUND
IfcFaceBound,#24365,IFCFACEBOUND
IfcFaceBound,#24378,IFCFACEBOUND
IfcFaceBound,#26868,IFCFACEBOUND
IfcFaceBound,#26881,IFCFACEBOUND
IfcFaceBound,#29025,IFCFACEBOUND
IfcFaceBound,#29038,IFCFACEBOUND
IfcFaceBound,#31168,IFCFACEBOUND
IfcFaceBound,#31181,IFCFACEBOUND
