:LABEL,id,ifc_type
IfcFaceOuterBound,#739,IFCFACEOUTERBOUND
IfcFaceOuterBound,#746,IFCFACEOUTERBOUND
IfcFaceOuterBound,#753,IFCFACEOUTERBOUND
IfcFaceOuterBound,#758,IFCFACEOUTERBOUND
IfcFaceOuterBound,#763,IFCFACEOUTERBOUND
IfcFaceOuterBound,#770,IFCFACEOUTERBOUND
IfcFaceOuterBound,#774,IFCFACEOUTERBOUND
IfcFaceOuterBound,#781,IFCFACEOUTERBOUND
IfcFaceOuterBound,#786,IFCFACEOUTERBOUND
IfcFaceOuterBound,#789,IFCFACEOUTERBOUND
IfcFaceOuterBound,#792,IFCFACEOUTERBOUND
IfcFaceOuterBound,#795,IFCFACEOUTERBOUND
IfcFaceOuterBound,#804,IFCFACEOUTERBOUND
IfcFaceOuterBound,#807,IFCFACEOUTERBOUND
IfcFaceOuterBound,#810,IFCFACEOUTERBOUND
IfcFaceOuterBound,#813,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2332,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2338,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2345,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2350,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2355,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2362,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2367,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2374,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2379,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2382,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2385,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2388,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2397,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2400,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2403,IFCFACEOUTERBOUND
IfcFaceOuterBound,#2406,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5330,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5349,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5356,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5359,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5362,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5365,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5370,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5373,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5376,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5379,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5384,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5387,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5390,IFCFACEOUTERBOUND
IfcFaceOuterBound,#5393,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9151,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9168,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9172,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9175,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9180,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9183,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9187,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9190,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9193,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9196,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9199,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9202,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9207,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9211,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9215,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9218,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9222,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9226,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9229,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9232,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9235,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9238,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9241,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9244,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9247,IFCFACEOUTERBOUND
IfcFaceOuterBound,#9252,IFCFACEOUTERBOUND
