:LABEL,global_id,id,ifc_type
IfcFillAreaStyle,Brickwork,#3887,IFCFILLAREASTYLE
IfcFillAreaStyle,Crosshatch,#3911,IFCFILLAREASTYLE
IfcFillAreaStyle,Diagonal cross-hatch,#3926,IFCFILLAREASTYLE
IfcFillAreaStyle,Sand,#3976,IFCFILLAREASTYLE
IfcFillAreaStyle,Concrete,#4795,IFCFILLAREASTYLE
IfcFillAreaStyle,Diagonal up 1.5mm,#6207,IFCFILLAREASTYLE
IfcFillAreaStyle,Vertical,#20865,IFCFILLAREASTYLE
IfcFillAreaStyle,Diagonal crosshatch 1.5mm,#21273,IFCFILLAREASTYLE
IfcFillAreaStyle,Sand,#21314,IFCFILLAREASTYLE
IfcFillAreaStyle,Steel,#36694,IFCFILLAREASTYLE
