:LABEL,id,ifc_type
IfcFillAreaStyleHatching,#3883,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3886,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3908,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3910,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3923,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3925,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3955,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3965,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#3975,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4726,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4731,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4736,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4741,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4746,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4751,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4756,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4761,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4766,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4773,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4780,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4787,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#4794,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#6206,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#20864,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#21270,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#21272,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#21293,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#21303,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#21313,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#36690,IFCFILLAREASTYLEHATCHING
IfcFillAreaStyleHatching,#36693,IFCFILLAREASTYLEHATCHING
