:LABEL,global_id,id,ifc_type,name
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vyu$,#12574,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157200
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vy_8,#12976,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157607
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vy3H,#13331,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157950
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vy3G,#13685,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157951
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vy4m,#14040,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157983
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vy4F,#14394,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157984
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vy6l,#14749,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158080
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vy6k,#15103,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158081
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vyMO,#15463,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159159
IfcFurnishingElement,0wkEuT1wr1kOyafLY4vyOn,#15856,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159262
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvGQ,#16149,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160671
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvH8,#16175,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160717
IfcFurnishingElement,2OBrcmyk58NupXoVOHUv88,#16261,IFCFURNISHINGELEMENT,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165
IfcFurnishingElement,2OBrcmyk58NupXoVOHUv3h,#16411,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:161646
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvup,#16485,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162230
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvuo,#16531,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:162231
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvs2,#16563,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162311
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvsm,#16589,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162357
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvtA,#16615,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162383
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvqp,#16641,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162486
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvqo,#16667,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162487
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvqz,#16693,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162488
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvqy,#16719,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162489
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvq$,#16802,IFCFURNISHINGELEMENT,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvq_,#16884,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:162491
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvqu,#16914,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162493
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvqx,#16940,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:162494
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvqw,#16971,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162495
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvr5,#16997,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162496
IfcFurnishingElement,2OBrcmyk58NupXoVOHUvr4,#17023,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162497
IfcFurnishingElement,2OBrcmyk58NupXoVOHUshs,#17341,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:167283
IfcFurnishingElement,2OBrcmyk58NupXoVOHUsc7,#17409,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:167426
IfcFurnishingElement,2OBrcmyk58NupXoVOHUsab,#17532,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167584
IfcFurnishingElement,2OBrcmyk58NupXoVOHUsbY,#17602,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167655
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtVQ,#17716,IFCFURNISHINGELEMENT,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168031
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtOy,#17786,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:168377
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtO$,#17815,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:168378
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtO_,#17844,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168379
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtOv,#17873,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168380
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtOu,#17902,IFCFURNISHINGELEMENT,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168381
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtM4,#19275,IFCFURNISHINGELEMENT,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:168449
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtI8,#20657,IFCFURNISHINGELEMENT,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168717
IfcFurnishingElement,2OBrcmyk58NupXoVOHUtHN,#20726,IFCFURNISHINGELEMENT,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168914
