:LABEL,global_id,id,ifc_type,name
IfcFurnitureType,0wkEuT1wr1kOyafLY4vyuY,#12563,IFCFURNITURETYPE,800 mm
IfcFurnitureType,0wkEuT1wr1kOyafLY4vy2N,#12965,IFCFURNITURETYPE,800 mm
IfcFurnitureType,2mPO1aJ9L1vhwDATSw60jI,#13320,IFCFURNITURETYPE,800 mm
IfcFurnitureType,2D1SWbs0jCmPqxGEunM0G_,#13674,IFCFURNITURETYPE,800 mm
IfcFurnitureType,2qa2SB0KPDn9CTwYeN9K8z,#14029,IFCFURNITURETYPE,800 mm
IfcFurnitureType,13B6cJabz9gxHYT6NiseZR,#14383,IFCFURNITURETYPE,800 mm
IfcFurnitureType,3PVC1OYX1Ecuz1H2Nk2cDI,#14738,IFCFURNITURETYPE,800 mm
IfcFurnitureType,0jcYS3uF56WRhKqAIn2D2t,#15092,IFCFURNITURETYPE,800 mm
IfcFurnitureType,3gitB6$NLAKweiR$I8cy2i,#16247,IFCFURNITURETYPE,600mm Depth
IfcFurnitureType,1aj$VJZFn2TxepZUBcKp0h,#15845,IFCFURNITURETYPE,1000mm
IfcFurnitureType,0EJeriCD16NwEG0qluVLDa,#16788,IFCFURNITURETYPE,600mm Depth
IfcFurnitureType,1aj$VJZFn2TxepZUBcKpCz,#16397,IFCFURNITURETYPE,600mm Depth
IfcFurnitureType,1aj$VJZFn2TxepZUBcKpCQ,#16520,IFCFURNITURETYPE,600mm Depth
IfcFurnitureType,0wkEuT1wr1kOyafLY4v$qt,#15452,IFCFURNITURETYPE,1000mm
IfcFurnitureType,2OBrcmyk58NupXoVOHUsvk,#17327,IFCFURNITURETYPE,1830mm
IfcFurnitureType,2OBrcmyk58NupXoVOHUsk0,#17702,IFCFURNITURETYPE,0915 x 1830 x 0457mm
IfcFurnitureType,2OBrcmyk58NupXoVOHUvfz,#20643,IFCFURNITURETYPE,1981 x 2032mm - King
IfcFurnitureType,2OBrcmyk58NupXoVOHUvfp,#19261,IFCFURNITURETYPE,1525 x 2007mm - Queen
IfcFurnitureType,0wkEuT1wr1kOyafLY4vy9t,#26927,IFCFURNITURETYPE,1000 mm
IfcFurnitureType,0iEHWY1$XA8eQeeULq4jRb,#29084,IFCFURNITURETYPE,1000 mm
IfcFurnitureType,1aj$VJZFn2TxepZUBcKp3g,#31227,IFCFURNITURETYPE,1000mm
IfcFurnitureType,2gRXFgjRn2HPE$YoDLX0tW,#35772,IFCFURNITURETYPE,650 x 450 mm
IfcFurnitureType,2gRXFgjRn2HPE$YoDLX0rd,#36114,IFCFURNITURETYPE,650 x 450 mm
IfcFurnitureType,2gRXFgjRn2HPE$YoDLX0$a,#36412,IFCFURNITURETYPE,450 x 450 mm
IfcFurnitureType,2OBrcmyk58NupXoVOHUsk4,#17518,IFCFURNITURETYPE,0610 x 0610 x 0610mm
