:LABEL,id,ifc_type
IfcGeometricSet,#6407,IFCGEOMETRICSET
IfcGeometricSet,#6633,IFCGEOMETRICSET
IfcGeometricSet,#6902,IFCGEOMETRICSET
IfcGeometricSet,#7171,IFCGEOMETRICSET
IfcGeometricSet,#7388,IFCGEOMETRICSET
IfcGeometricSet,#7620,IFCGEOMETRICSET
IfcGeometricSet,#8047,IFCGEOMETRICSET
IfcGeometricSet,#8264,IFCGEOMETRICSET
IfcGeometricSet,#8426,IFCGEOMETRICSET
IfcGeometricSet,#15943,IFCGEOMETRICSET
IfcGeometricSet,#16242,IFCGEOMETRICSET
IfcGeometricSet,#16392,IFCGEOMETRICSET
IfcGeometricSet,#16783,IFCGEOMETRICSET
IfcGeometricSet,#17322,IFCGEOMETRICSET
IfcGeometricSet,#17513,IFCGEOMETRICSET
IfcGeometricSet,#17697,IFCGEOMETRICSET
IfcGeometricSet,#19256,IFCGEOMETRICSET
IfcGeometricSet,#20638,IFCGEOMETRICSET
IfcGeometricSet,#21802,IFCGEOMETRICSET
IfcGeometricSet,#23142,IFCGEOMETRICSET
IfcGeometricSet,#26922,IFCGEOMETRICSET
IfcGeometricSet,#29079,IFCGEOMETRICSET
IfcGeometricSet,#31222,IFCGEOMETRICSET
IfcGeometricSet,#31522,IFCGEOMETRICSET
IfcGeometricSet,#35299,IFCGEOMETRICSET
