:LABEL,id,ifc_type
IfcLocalPlacement,#46,IFCLOCALPLACEMENT
IfcLocalPlacement,#487,IFCLOCALPLACEMENT
IfcLocalPlacement,#1917,IFCLOCALPLACEMENT
IfcLocalPlacement,#2081,IFCLOCALPLACEMENT
IfcLocalPlacement,#3187,IFCLOCALPLACEMENT
IfcLocalPlacement,#3315,IFCLOCALPLACEMENT
IfcLocalPlacement,#3436,IFCLOCALPLACEMENT
IfcLocalPlacement,#3567,IFCLOCALPLACEMENT
IfcLocalPlacement,#3697,IFCLOCALPLACEMENT
IfcLocalPlacement,#4118,IFCLOCALPLACEMENT
IfcLocalPlacement,#4251,IFCLOCALPLACEMENT
IfcLocalPlacement,#4364,IFCLOCALPLACEMENT
IfcLocalPlacement,#4430,IFCLOCALPLACEMENT
IfcLocalPlacement,#4540,IFCLOCALPLACEMENT
IfcLocalPlacement,#4585,IFCLOCALPLACEMENT
IfcLocalPlacement,#4630,IFCLOCALPLACEMENT
IfcLocalPlacement,#4805,IFCLOCALPLACEMENT
IfcLocalPlacement,#4855,IFCLOCALPLACEMENT
IfcLocalPlacement,#4905,IFCLOCALPLACEMENT
IfcLocalPlacement,#4955,IFCLOCALPLACEMENT
IfcLocalPlacement,#5044,IFCLOCALPLACEMENT
IfcLocalPlacement,#5093,IFCLOCALPLACEMENT
IfcLocalPlacement,#5302,IFCLOCALPLACEMENT
IfcLocalPlacement,#5762,IFCLOCALPLACEMENT
IfcLocalPlacement,#5846,IFCLOCALPLACEMENT
IfcLocalPlacement,#6023,IFCLOCALPLACEMENT
IfcLocalPlacement,#6067,IFCLOCALPLACEMENT
IfcLocalPlacement,#6292,IFCLOCALPLACEMENT
IfcLocalPlacement,#6425,IFCLOCALPLACEMENT
IfcLocalPlacement,#6516,IFCLOCALPLACEMENT
IfcLocalPlacement,#6530,IFCLOCALPLACEMENT
IfcLocalPlacement,#6568,IFCLOCALPLACEMENT
IfcLocalPlacement,#6651,IFCLOCALPLACEMENT
IfcLocalPlacement,#6742,IFCLOCALPLACEMENT
IfcLocalPlacement,#6756,IFCLOCALPLACEMENT
IfcLocalPlacement,#6793,IFCLOCALPLACEMENT
IfcLocalPlacement,#3986,IFCLOCALPLACEMENT
IfcLocalPlacement,#6920,IFCLOCALPLACEMENT
IfcLocalPlacement,#7010,IFCLOCALPLACEMENT
IfcLocalPlacement,#4074,IFCLOCALPLACEMENT
IfcLocalPlacement,#7024,IFCLOCALPLACEMENT
IfcLocalPlacement,#7062,IFCLOCALPLACEMENT
IfcLocalPlacement,#7189,IFCLOCALPLACEMENT
IfcLocalPlacement,#7279,IFCLOCALPLACEMENT
IfcLocalPlacement,#7406,IFCLOCALPLACEMENT
IfcLocalPlacement,#7496,IFCLOCALPLACEMENT
IfcLocalPlacement,#7638,IFCLOCALPLACEMENT
IfcLocalPlacement,#7728,IFCLOCALPLACEMENT
IfcLocalPlacement,#5429,IFCLOCALPLACEMENT
IfcLocalPlacement,#7742,IFCLOCALPLACEMENT
IfcLocalPlacement,#7780,IFCLOCALPLACEMENT
IfcLocalPlacement,#7794,IFCLOCALPLACEMENT
IfcLocalPlacement,#7832,IFCLOCALPLACEMENT
IfcLocalPlacement,#7846,IFCLOCALPLACEMENT
IfcLocalPlacement,#7884,IFCLOCALPLACEMENT
IfcLocalPlacement,#7898,IFCLOCALPLACEMENT
IfcLocalPlacement,#7936,IFCLOCALPLACEMENT
IfcLocalPlacement,#5529,IFCLOCALPLACEMENT
IfcLocalPlacement,#7950,IFCLOCALPLACEMENT
IfcLocalPlacement,#7988,IFCLOCALPLACEMENT
IfcLocalPlacement,#4495,IFCLOCALPLACEMENT
IfcLocalPlacement,#8065,IFCLOCALPLACEMENT
IfcLocalPlacement,#8154,IFCLOCALPLACEMENT
IfcLocalPlacement,#4206,IFCLOCALPLACEMENT
IfcLocalPlacement,#8168,IFCLOCALPLACEMENT
IfcLocalPlacement,#8205,IFCLOCALPLACEMENT
IfcLocalPlacement,#5629,IFCLOCALPLACEMENT
IfcLocalPlacement,#8282,IFCLOCALPLACEMENT
IfcLocalPlacement,#8371,IFCLOCALPLACEMENT
IfcLocalPlacement,#5890,IFCLOCALPLACEMENT
IfcLocalPlacement,#8385,IFCLOCALPLACEMENT
IfcLocalPlacement,#8969,IFCLOCALPLACEMENT
IfcLocalPlacement,#9001,IFCLOCALPLACEMENT
IfcLocalPlacement,#8411,IFCLOCALPLACEMENT
IfcLocalPlacement,#9019,IFCLOCALPLACEMENT
IfcLocalPlacement,#12573,IFCLOCALPLACEMENT
IfcLocalPlacement,#12582,IFCLOCALPLACEMENT
IfcLocalPlacement,#12975,IFCLOCALPLACEMENT
IfcLocalPlacement,#12984,IFCLOCALPLACEMENT
IfcLocalPlacement,#13330,IFCLOCALPLACEMENT
IfcLocalPlacement,#13339,IFCLOCALPLACEMENT
IfcLocalPlacement,#13684,IFCLOCALPLACEMENT
IfcLocalPlacement,#13693,IFCLOCALPLACEMENT
IfcLocalPlacement,#14039,IFCLOCALPLACEMENT
IfcLocalPlacement,#14048,IFCLOCALPLACEMENT
IfcLocalPlacement,#14393,IFCLOCALPLACEMENT
IfcLocalPlacement,#14402,IFCLOCALPLACEMENT
IfcLocalPlacement,#14748,IFCLOCALPLACEMENT
IfcLocalPlacement,#14757,IFCLOCALPLACEMENT
IfcLocalPlacement,#15102,IFCLOCALPLACEMENT
IfcLocalPlacement,#15111,IFCLOCALPLACEMENT
IfcLocalPlacement,#15462,IFCLOCALPLACEMENT
IfcLocalPlacement,#15855,IFCLOCALPLACEMENT
IfcLocalPlacement,#15884,IFCLOCALPLACEMENT
IfcLocalPlacement,#5718,IFCLOCALPLACEMENT
IfcLocalPlacement,#15961,IFCLOCALPLACEMENT
IfcLocalPlacement,#15998,IFCLOCALPLACEMENT
IfcLocalPlacement,#5979,IFCLOCALPLACEMENT
IfcLocalPlacement,#16012,IFCLOCALPLACEMENT
IfcLocalPlacement,#16049,IFCLOCALPLACEMENT
IfcLocalPlacement,#5674,IFCLOCALPLACEMENT
IfcLocalPlacement,#16063,IFCLOCALPLACEMENT
IfcLocalPlacement,#16100,IFCLOCALPLACEMENT
IfcLocalPlacement,#5935,IFCLOCALPLACEMENT
IfcLocalPlacement,#16114,IFCLOCALPLACEMENT
IfcLocalPlacement,#16148,IFCLOCALPLACEMENT
IfcLocalPlacement,#16174,IFCLOCALPLACEMENT
IfcLocalPlacement,#16260,IFCLOCALPLACEMENT
IfcLocalPlacement,#16305,IFCLOCALPLACEMENT
IfcLocalPlacement,#16410,IFCLOCALPLACEMENT
IfcLocalPlacement,#16484,IFCLOCALPLACEMENT
IfcLocalPlacement,#16530,IFCLOCALPLACEMENT
IfcLocalPlacement,#16562,IFCLOCALPLACEMENT
IfcLocalPlacement,#16588,IFCLOCALPLACEMENT
IfcLocalPlacement,#16614,IFCLOCALPLACEMENT
IfcLocalPlacement,#16640,IFCLOCALPLACEMENT
IfcLocalPlacement,#16666,IFCLOCALPLACEMENT
IfcLocalPlacement,#16692,IFCLOCALPLACEMENT
IfcLocalPlacement,#16718,IFCLOCALPLACEMENT
IfcLocalPlacement,#16801,IFCLOCALPLACEMENT
IfcLocalPlacement,#16846,IFCLOCALPLACEMENT
IfcLocalPlacement,#16883,IFCLOCALPLACEMENT
IfcLocalPlacement,#16913,IFCLOCALPLACEMENT
IfcLocalPlacement,#16939,IFCLOCALPLACEMENT
IfcLocalPlacement,#16970,IFCLOCALPLACEMENT
IfcLocalPlacement,#16996,IFCLOCALPLACEMENT
IfcLocalPlacement,#17022,IFCLOCALPLACEMENT
IfcLocalPlacement,#17340,IFCLOCALPLACEMENT
IfcLocalPlacement,#17408,IFCLOCALPLACEMENT
IfcLocalPlacement,#17531,IFCLOCALPLACEMENT
IfcLocalPlacement,#17601,IFCLOCALPLACEMENT
IfcLocalPlacement,#1616,IFCLOCALPLACEMENT
IfcLocalPlacement,#17715,IFCLOCALPLACEMENT
IfcLocalPlacement,#17785,IFCLOCALPLACEMENT
IfcLocalPlacement,#17814,IFCLOCALPLACEMENT
IfcLocalPlacement,#17843,IFCLOCALPLACEMENT
IfcLocalPlacement,#17872,IFCLOCALPLACEMENT
IfcLocalPlacement,#53,IFCLOCALPLACEMENT
IfcLocalPlacement,#17901,IFCLOCALPLACEMENT
IfcLocalPlacement,#19274,IFCLOCALPLACEMENT
IfcLocalPlacement,#20656,IFCLOCALPLACEMENT
IfcLocalPlacement,#20725,IFCLOCALPLACEMENT
IfcLocalPlacement,#20754,IFCLOCALPLACEMENT
IfcLocalPlacement,#21704,IFCLOCALPLACEMENT
IfcLocalPlacement,#3781,IFCLOCALPLACEMENT
IfcLocalPlacement,#21820,IFCLOCALPLACEMENT
IfcLocalPlacement,#21914,IFCLOCALPLACEMENT
IfcLocalPlacement,#4030,IFCLOCALPLACEMENT
IfcLocalPlacement,#21928,IFCLOCALPLACEMENT
