:LABEL,id,ifc_type
IfcMappedItem,#6415,IFCMAPPEDITEM
IfcMappedItem,#6418,IFCMAPPEDITEM
IfcMappedItem,#6520,IFCMAPPEDITEM
IfcMappedItem,#6523,IFCMAPPEDITEM
IfcMappedItem,#6641,IFCMAPPEDITEM
IfcMappedItem,#6644,IFCMAPPEDITEM
IfcMappedItem,#6746,IFCMAPPEDITEM
IfcMappedItem,#6749,IFCMAPPEDITEM
IfcMappedItem,#6910,IFCMAPPEDITEM
IfcMappedItem,#6913,IFCMAPPEDITEM
IfcMappedItem,#7014,IFCMAPPEDITEM
IfcMappedItem,#7017,IFCMAPPEDITEM
IfcMappedItem,#7179,IFCMAPPEDITEM
IfcMappedItem,#7182,IFCMAPPEDITEM
IfcMappedItem,#7396,IFCMAPPEDITEM
IfcMappedItem,#7399,IFCMAPPEDITEM
IfcMappedItem,#7628,IFCMAPPEDITEM
IfcMappedItem,#7631,IFCMAPPEDITEM
IfcMappedItem,#7732,IFCMAPPEDITEM
IfcMappedItem,#7735,IFCMAPPEDITEM
IfcMappedItem,#7784,IFCMAPPEDITEM
IfcMappedItem,#7787,IFCMAPPEDITEM
IfcMappedItem,#7836,IFCMAPPEDITEM
IfcMappedItem,#7839,IFCMAPPEDITEM
IfcMappedItem,#7888,IFCMAPPEDITEM
IfcMappedItem,#7891,IFCMAPPEDITEM
IfcMappedItem,#7940,IFCMAPPEDITEM
IfcMappedItem,#7943,IFCMAPPEDITEM
IfcMappedItem,#8055,IFCMAPPEDITEM
IfcMappedItem,#8058,IFCMAPPEDITEM
IfcMappedItem,#8158,IFCMAPPEDITEM
IfcMappedItem,#8161,IFCMAPPEDITEM
IfcMappedItem,#8272,IFCMAPPEDITEM
IfcMappedItem,#8275,IFCMAPPEDITEM
IfcMappedItem,#8375,IFCMAPPEDITEM
IfcMappedItem,#8378,IFCMAPPEDITEM
IfcMappedItem,#12565,IFCMAPPEDITEM
IfcMappedItem,#12967,IFCMAPPEDITEM
IfcMappedItem,#13322,IFCMAPPEDITEM
IfcMappedItem,#13676,IFCMAPPEDITEM
IfcMappedItem,#14031,IFCMAPPEDITEM
IfcMappedItem,#14385,IFCMAPPEDITEM
IfcMappedItem,#14740,IFCMAPPEDITEM
IfcMappedItem,#15094,IFCMAPPEDITEM
IfcMappedItem,#15454,IFCMAPPEDITEM
IfcMappedItem,#15847,IFCMAPPEDITEM
IfcMappedItem,#15951,IFCMAPPEDITEM
IfcMappedItem,#15954,IFCMAPPEDITEM
IfcMappedItem,#16002,IFCMAPPEDITEM
IfcMappedItem,#16005,IFCMAPPEDITEM
IfcMappedItem,#16053,IFCMAPPEDITEM
IfcMappedItem,#16056,IFCMAPPEDITEM
IfcMappedItem,#16104,IFCMAPPEDITEM
IfcMappedItem,#16107,IFCMAPPEDITEM
IfcMappedItem,#16140,IFCMAPPEDITEM
IfcMappedItem,#16166,IFCMAPPEDITEM
IfcMappedItem,#16249,IFCMAPPEDITEM
IfcMappedItem,#16252,IFCMAPPEDITEM
IfcMappedItem,#16399,IFCMAPPEDITEM
IfcMappedItem,#16402,IFCMAPPEDITEM
IfcMappedItem,#16476,IFCMAPPEDITEM
IfcMappedItem,#16522,IFCMAPPEDITEM
IfcMappedItem,#16554,IFCMAPPEDITEM
IfcMappedItem,#16580,IFCMAPPEDITEM
IfcMappedItem,#16606,IFCMAPPEDITEM
IfcMappedItem,#16632,IFCMAPPEDITEM
IfcMappedItem,#16658,IFCMAPPEDITEM
IfcMappedItem,#16684,IFCMAPPEDITEM
IfcMappedItem,#16710,IFCMAPPEDITEM
IfcMappedItem,#16790,IFCMAPPEDITEM
IfcMappedItem,#16793,IFCMAPPEDITEM
IfcMappedItem,#16872,IFCMAPPEDITEM
IfcMappedItem,#16875,IFCMAPPEDITEM
IfcMappedItem,#16905,IFCMAPPEDITEM
IfcMappedItem,#16931,IFCMAPPEDITEM
IfcMappedItem,#16962,IFCMAPPEDITEM
IfcMappedItem,#16988,IFCMAPPEDITEM
IfcMappedItem,#17014,IFCMAPPEDITEM
IfcMappedItem,#17329,IFCMAPPEDITEM
IfcMappedItem,#17332,IFCMAPPEDITEM
IfcMappedItem,#17397,IFCMAPPEDITEM
IfcMappedItem,#17400,IFCMAPPEDITEM
IfcMappedItem,#17520,IFCMAPPEDITEM
IfcMappedItem,#17523,IFCMAPPEDITEM
IfcMappedItem,#17590,IFCMAPPEDITEM
IfcMappedItem,#17593,IFCMAPPEDITEM
IfcMappedItem,#17704,IFCMAPPEDITEM
IfcMappedItem,#17707,IFCMAPPEDITEM
IfcMappedItem,#17774,IFCMAPPEDITEM
IfcMappedItem,#17777,IFCMAPPEDITEM
IfcMappedItem,#17803,IFCMAPPEDITEM
IfcMappedItem,#17806,IFCMAPPEDITEM
IfcMappedItem,#17832,IFCMAPPEDITEM
IfcMappedItem,#17835,IFCMAPPEDITEM
IfcMappedItem,#17861,IFCMAPPEDITEM
IfcMappedItem,#17864,IFCMAPPEDITEM
IfcMappedItem,#17890,IFCMAPPEDITEM
IfcMappedItem,#17893,IFCMAPPEDITEM
IfcMappedItem,#19263,IFCMAPPEDITEM
IfcMappedItem,#19266,IFCMAPPEDITEM
IfcMappedItem,#20645,IFCMAPPEDITEM
IfcMappedItem,#20648,IFCMAPPEDITEM
IfcMappedItem,#20714,IFCMAPPEDITEM
IfcMappedItem,#20717,IFCMAPPEDITEM
IfcMappedItem,#20743,IFCMAPPEDITEM
IfcMappedItem,#20746,IFCMAPPEDITEM
IfcMappedItem,#21810,IFCMAPPEDITEM
IfcMappedItem,#21813,IFCMAPPEDITEM
IfcMappedItem,#21918,IFCMAPPEDITEM
IfcMappedItem,#21921,IFCMAPPEDITEM
IfcMappedItem,#21969,IFCMAPPEDITEM
IfcMappedItem,#21972,IFCMAPPEDITEM
IfcMappedItem,#22021,IFCMAPPEDITEM
IfcMappedItem,#22024,IFCMAPPEDITEM
IfcMappedItem,#22073,IFCMAPPEDITEM
IfcMappedItem,#22076,IFCMAPPEDITEM
IfcMappedItem,#22125,IFCMAPPEDITEM
IfcMappedItem,#22128,IFCMAPPEDITEM
IfcMappedItem,#22177,IFCMAPPEDITEM
IfcMappedItem,#22180,IFCMAPPEDITEM
IfcMappedItem,#22229,IFCMAPPEDITEM
IfcMappedItem,#22232,IFCMAPPEDITEM
IfcMappedItem,#22281,IFCMAPPEDITEM
IfcMappedItem,#22284,IFCMAPPEDITEM
IfcMappedItem,#22333,IFCMAPPEDITEM
IfcMappedItem,#22336,IFCMAPPEDITEM
IfcMappedItem,#22385,IFCMAPPEDITEM
IfcMappedItem,#22388,IFCMAPPEDITEM
IfcMappedItem,#22437,IFCMAPPEDITEM
IfcMappedItem,#22440,IFCMAPPEDITEM
IfcMappedItem,#23150,IFCMAPPEDITEM
IfcMappedItem,#23153,IFCMAPPEDITEM
IfcMappedItem,#23239,IFCMAPPEDITEM
IfcMappedItem,#23242,IFCMAPPEDITEM
IfcMappedItem,#26929,IFCMAPPEDITEM
IfcMappedItem,#26932,IFCMAPPEDITEM
IfcMappedItem,#29086,IFCMAPPEDITEM
IfcMappedItem,#29089,IFCMAPPEDITEM
IfcMappedItem,#29115,IFCMAPPEDITEM
IfcMappedItem,#29118,IFCMAPPEDITEM
IfcMappedItem,#31229,IFCMAPPEDITEM
IfcMappedItem,#31232,IFCMAPPEDITEM
IfcMappedItem,#31301,IFCMAPPEDITEM
IfcMappedItem,#31304,IFCMAPPEDITEM
IfcMappedItem,#31330,IFCMAPPEDITEM
IfcMappedItem,#31333,IFCMAPPEDITEM
IfcMappedItem,#31359,IFCMAPPEDITEM
IfcMappedItem,#31362,IFCMAPPEDITEM
IfcMappedItem,#31388,IFCMAPPEDITEM
IfcMappedItem,#31391,IFCMAPPEDITEM
IfcMappedItem,#35307,IFCMAPPEDITEM
IfcMappedItem,#35310,IFCMAPPEDITEM
IfcMappedItem,#35402,IFCMAPPEDITEM
IfcMappedItem,#35405,IFCMAPPEDITEM
IfcMappedItem,#35774,IFCMAPPEDITEM
IfcMappedItem,#35845,IFCMAPPEDITEM
IfcMappedItem,#36116,IFCMAPPEDITEM
IfcMappedItem,#36142,IFCMAPPEDITEM
IfcMappedItem,#36414,IFCMAPPEDITEM
IfcMappedItem,#36485,IFCMAPPEDITEM
IfcMappedItem,#36488,IFCMAPPEDITEM
IfcMappedItem,#36514,IFCMAPPEDITEM
IfcMappedItem,#36517,IFCMAPPEDITEM
IfcMappedItem,#36543,IFCMAPPEDITEM
IfcMappedItem,#36546,IFCMAPPEDITEM
IfcMappedItem,#36572,IFCMAPPEDITEM
IfcMappedItem,#36575,IFCMAPPEDITEM
