:LABEL,id,ifc_type
IfcMaterialDefinitionRepresentation,#3891,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#3900,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#3915,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#3930,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#3939,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#3980,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#4799,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#5242,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#6211,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#6220,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#20869,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#20878,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#21277,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#21318,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#22623,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#22632,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#22641,IFCMATERIALDEFINITIONREPRESENTATION
IfcMaterialDefinitionRepresentation,#36698,IFCMATERIALDEFINITIONREPRESENTATION
