:LABEL,direction_sense,id,ifc_type,layer_set_direction,material_layer_set,offset_from_reference
IfcMaterialLayerSetUsage,NEGATIVE,#3983,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#4027,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#4071,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#4115,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#4203,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#4248,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#4361,IFCMATERIALLAYERSETUSAGE,AXIS2,#4360,0.2750000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#4427,IFCMATERIALLAYERSETUSAGE,AXIS2,#4360,0.2750000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#4492,IFCMATERIALLAYERSETUSAGE,AXIS2,#4360,0.2750000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#4537,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#4582,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#4627,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#4802,IFCMATERIALLAYERSETUSAGE,AXIS2,#4801,0.2085
IfcMaterialLayerSetUsage,NEGATIVE,#4852,IFCMATERIALLAYERSETUSAGE,AXIS2,#4801,0.2085
IfcMaterialLayerSetUsage,NEGATIVE,#4902,IFCMATERIALLAYERSETUSAGE,AXIS2,#4801,0.2085
IfcMaterialLayerSetUsage,NEGATIVE,#4952,IFCMATERIALLAYERSETUSAGE,AXIS2,#4801,0.2085
IfcMaterialLayerSetUsage,NEGATIVE,#5041,IFCMATERIALLAYERSETUSAGE,AXIS2,#5040,0.2175
IfcMaterialLayerSetUsage,NEGATIVE,#5090,IFCMATERIALLAYERSETUSAGE,AXIS2,#5040,0.2175
IfcMaterialLayerSetUsage,NEGATIVE,#5140,IFCMATERIALLAYERSETUSAGE,AXIS2,#5040,0.2175
IfcMaterialLayerSetUsage,POSITIVE,#5245,IFCMATERIALLAYERSETUSAGE,AXIS3,#5244,0.0
IfcMaterialLayerSetUsage,POSITIVE,#5299,IFCMATERIALLAYERSETUSAGE,AXIS3,#5244,0.0
IfcMaterialLayerSetUsage,NEGATIVE,#5426,IFCMATERIALLAYERSETUSAGE,AXIS2,#4360,0.2750000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#5476,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#5526,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#5576,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#5626,IFCMATERIALLAYERSETUSAGE,AXIS2,#3982,0.2085000000000001
IfcMaterialLayerSetUsage,NEGATIVE,#5671,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#5715,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#5759,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#5843,IFCMATERIALLAYERSETUSAGE,AXIS2,#5842,0.092
IfcMaterialLayerSetUsage,NEGATIVE,#5887,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#5932,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#5976,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#6020,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#6064,IFCMATERIALLAYERSETUSAGE,AXIS2,#4202,0.062
IfcMaterialLayerSetUsage,NEGATIVE,#6108,IFCMATERIALLAYERSETUSAGE,AXIS2,#5842,0.092
IfcMaterialLayerSetUsage,POSITIVE,#6223,IFCMATERIALLAYERSETUSAGE,AXIS3,#6222,0.0
IfcMaterialLayerSetUsage,POSITIVE,#6279,IFCMATERIALLAYERSETUSAGE,AXIS3,#6222,0.0
IfcMaterialLayerSetUsage,POSITIVE,#20881,IFCMATERIALLAYERSETUSAGE,AXIS3,#20880,0.0
IfcMaterialLayerSetUsage,POSITIVE,#20936,IFCMATERIALLAYERSETUSAGE,AXIS3,#20880,0.0
IfcMaterialLayerSetUsage,POSITIVE,#20991,IFCMATERIALLAYERSETUSAGE,AXIS3,#20880,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21046,IFCMATERIALLAYERSETUSAGE,AXIS3,#20880,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21113,IFCMATERIALLAYERSETUSAGE,AXIS3,#20880,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21180,IFCMATERIALLAYERSETUSAGE,AXIS3,#20880,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21321,IFCMATERIALLAYERSETUSAGE,AXIS3,#21320,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21369,IFCMATERIALLAYERSETUSAGE,AXIS3,#21320,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21434,IFCMATERIALLAYERSETUSAGE,AXIS3,#20880,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21482,IFCMATERIALLAYERSETUSAGE,AXIS3,#21320,0.0
IfcMaterialLayerSetUsage,POSITIVE,#21530,IFCMATERIALLAYERSETUSAGE,AXIS3,#21320,0.0
